metamorphosis	(昆虫の)変態 / (外形・性質・状態上の)完全な変化,大変貎,変身
metropolitan bishop	(ロシア正教会の)主教
mettle	気性,気質 / 元気,勇気;根性,気力
mettlesome	元気のある,威勢のよい
mew	〈C〉(猫やカモメなどの鳴き声)ミャー / =meow /  {動}(猫やカモメが)鳴く / 《古》馬小屋の並ぶ路地,うまや / うまやを改築したアパート / (文語)(古語)…を閉じこめる
mewl	(赤ん坊が泣くように)弱弱しく泣く / 弱々しい泣き声
mezzanine	(階と階の間の)中二階 / (劇場の)二階さじき[前列]
mezzo	{形} 中間の / 中くらいの / (音楽で)中音域の女声 / =mezzo-soprano
mezzo-soprano	〈U〉メゾソプラノ,次高音(sopranoより低く,altoより高い女性の声) / 〈C〉メゾソプラノ歌手
mezzotint	〈U〉メゾチント彫刻(あらくした銅版面の所々をならして明暗をつける法) / 〈C〉メゾチント版
mg	milligram[s]
mgt.	management
mi	ミ(全音階の第3音)
miaow	=meow
miasma	(沼や腐った物から発して病気のもととなると考えられていた)毒気 / 悪影響,悪い雰囲気
miasmal	毒気の,沼気の / 有毒な
mica	雲母(うんも),きらら
mice	mouseの複数形
mick	《俗》《軽べつして》アイルランド人
micra	micronの複数形
micro miniature	(特に電子装置が)超小型の
microbe	微生物,(特に)細菌
microbiological	微生物学の
microbiologist	微生物学者
microbiology	微生物学,細菌学
microclimate	微気候(小地域内の気候)
microcopy	マイクロフイルムによる複写
microcosm	小宇宙,小世界 / (…の)縮図《+『of』+『名』》
microelectronics	マイクロ電子工学
microfiche	マイクロフィッシュ(10‐12センチ四方のシート状のマイクロフイルム)
microfilm	〈U〉マイクロフイルム(本・新聞記事などの縮小複写用フイルム) / 〈C〉マイクロフイルムにとった新聞記事(本など) / …をマイクロフイルムにとる
microform	縮小写真印刷[物]
microgram	マイクログラム(100万分の1グラム)
micrograph	顕微鏡図,顕微鏡写真
microgroove	(LPレコードの)細い溝
micrometer	測微計,マイクロメーター(微小な寸法・距離・角度などを精密に測定する各種の装置)
microminiaturization	(電子装置などの)超小型化
micron	ミクロン(100万分の1メートル;記号はμ)
microorganism	微生物
microphone	『マイクロフォン』,拡声器
microscope	『顕微鏡』
microscopic	顕微鏡の,顕微鏡による / 《しばしば《話》》非常に小さい,微細な / 非常に綿密な
microscopically	顕微鏡で;顕微鏡で見るように
microscopy	顕微鏡使用[法] / 顕微鏡による検査
microsecond	マイクロ秒(1秒の100万分の1)
microstate	ミクロ国家(資源などに乏しい非常に小さな国家)
microsurgery	顕微解剖,顕微手術(顕微鏡を見ながら組織や細胞を手術する技術)
microwave	(無線電信・電話の)極超短波,マイクロウェーブ(波長1m以下の電波;レーダーなどに使用する)
microwave oven	電子レンジ
mid,'mid	=amid
mid-off	〈U〉ミッドオフ(クリケットで投手の左側の野手の位置) / 〈C〉この位置にいる野手
mid-on	〈U〉ミッドオン(クリケットで投手の右側の野手の位置) / 〈C〉この位置にいる野手
midair	空中,上空
midcourse	《名詞の前にのみ用いて》(ロケットなどの)中間軌道の / 中間軌道
