mistletoe	ヤドリギ / ヤドリギの小枝(クリスマスの装飾用)
mob	〈C〉(無秩序な)『群衆』,暴徒,やじ馬 / 〈C〉(一般に,人・動物・物の)群れ,集まり《+『of』+『名』》 / 《the ~》大衆,民衆(the masses) / 《話》(盗賊・ギャングなどの)一団,一味 / …の回りに熱狂して集まる;…に大勢で押し寄せる
mobile	動く(動かす)ことができる,移動できる;機動力のある / (心・表情が)次々と移り変わる;表情(感情)の豊かな / (社会・階層が上下に)流動できる / モビール(金属板などを空中につって動きを見せる抽象的な装飾) / 《米俗》自動車
mobile home	(車で引く)移動住宅
mobility	可動性,流動性,変わりやすさ;(軍隊の)機動力
mobilization,mobilisation	軍隊(艦隊)の動員 / (人の)動員;(物の)運用,流通
mobilize,mobilise	(戦争・非常事態で)〈軍隊・産業など〉を動員する,戦時体制にする / 〈軍隊などが〉集結する
mobster	《俗》ギャング(盗賊)の一員(gangster)
moccasin	《複数形で》モカシン(北米インディアンがはいた柔らかい皮の靴);(モカシンに似た)室内ばき / =water moccasin
mock	〈人,人の言動〉を『あざける』,ばかにする / 〈人の言動〉を『ふざけてまねる』 / 〈努力・力など〉を無視する,無にする / (…を)あざける,ばかにする(scoff)《+『at』+『名』》 / 《名詞の前にのみ用いて》にせの,ごまかしの / あざけり
mock-heroic	英雄気どりの
mocker	あざける人,からかう人;(からかって)まねする人 / モノマネドリ
mockery	(…を)あざけること,あざけった言葉(ふるまい)《+『of』+『名』》 / 〈C〉ちょう笑の的 / 〈C〉まがい[物],にせ,茶番
mockingbird	マネシツグミ(北米南部及び西インド諸島産で,他の鳥の鳴き声をまねる)
mockingly	あざけって,ばかにして
mockup, mock-up	実物大の模型
mod	モッズふうな(服装・音楽などについて伝統にとらわれない考え方の一つ)[modernの短縮形]
mod.	moderate
modal	様式の,形態上の / 《名詞の前にのみ用いて》(動詞の)法(mood)の,叙法の / =modal auxiliary
modal auxiliary	法助動詞(can,could,may,might,shall,should,will,would,need,dareなど)
modcon	(売家の新聞広告で)最新設備完備
mode	〈C〉(…の)『方法』,やり方,流儀《+『of』+『名』(do『ing』)》 / 〈U〉〈C〉(服装などの)『流行』,モード / 〈C〉(動詞の)法,叙法(mood) / 音階(scale)
model	(通常縮小した)(…の)『模型』,ひな型《+『of』+『名』》 / 《単数形で》(…の)『模範』,手本《+『of』+(『for』)+『名』》 / (美術家・作家などの)モデル,ファッションモデル / (自動車・服装などの)型,式《+『of』+『名』》 / 《英》《単数形で》(…と)そっくりな人(物),(…の)生き写し《+『of』+『名』》 / 『模型の』,見本の / 『模範的な』,申し分のない / (ある材料で)…の模型を作る,を型どる《+『名』+『in』+『名』〈材料〉》 / (手本・型に合わせて)…を作る《+『名』+『after』(『on, upon』)+『名』(a person's do『ing』)》 / 〈洋装・髪型などの〉のモデルをする / (…で)(原型)を作る《+『in』+『名』》 / (ファッションショーなどで)モデルをする
moderate	『適度の』,度を越さない / (量・大きさ・質などが)『中くらいの』,並の / 《遠回しに》並以下の,平均以下の / (天候などが)『穏やかな』,温和な(mild) / (思想・考え方などが)穏健な / (特に政治上)穏健な人,中道主義者 / …を適度にする,和らげる / 〈集会など〉の司会をする / 穏やかになる,和らぐ / 司会をつとめる
moderately	ほどよく,適度に
moderation	(…に)適度であること,度を過ごさないこと《+『in』+『名』(do『ing』)》 / 穏健・温和,中庸
moderato	(曲の演奏で)モデラートの,ほどよい速さの / モデラートで,ほどよい速さで
moderator	仲裁者,調停者 / (特に)(討論などの)司会者(chairman) / 調整器
modern	『現代の』,今の / (ルネサンス以後の)近代の,(中世に続く)近世の / (服装・設備などが)『現代的な』,モダンな(up-to-date) / 現代人 / (考え方・生き方などの面で)現代的な人
modernism	現代的な思想(表現・習慣など) / 現代的な言葉,現代語法 / 《しばしばM-》現代芸術,現代哲学
modernist	現代主義者,現代賛美者,モダニスト
modernistic	現代主義[者]の;現代的な,新しい
modernity	現代主義;現代性(風)
modernization,modernisation	現代化
modernize,modernise	…を現代的(現代式)にする / 現代的になる
modest	『謙そんした』,謙虚な;控え目な / (特に女性について)品のいい,しとやかな / じみな,質素な(simple) / (量・規模・程度が)中ぐらいの,並の(moderate)
modesty	『謙そん』;控え目なこと,つつましさ;しとやかさ;質素 / (大きさ・程度の)適度,ほどよさ
modicum	《a modicum》わずか(の…)《+『of』+『名』》
modification	修正(変更)した(された)もの / 〈U〉〈C〉(文法で)修飾
modifier	修飾語[句](形容詞・副詞など)
modify	…を『修正する』,変更する / …を加減する,緩和する / 〈語・句・節が〉…を修飾する,限定する
modish	流行を追う,当世風の
modular	(建築材料が)規格部品でできている / 測定基準の
modulate	…を調節する,調整する / 〈声など〉の調子(強さ,速さ)を変える / 〈ラジオなど〉の周波数を変える / 〈楽曲が〉(ある調子から他の調子へ)転調する《+『from』+『名』+『to』+『名』》
modulation	調節,調整,変調 / (音楽の)転調 / (周波数の)変調
module	(建築・機械工作などの)測定基準;基準単位(寸法) / モジュール(宇宙船の一部を成し,母船から独立して行動できるもの)
modus operandi	仕事のやり方,手続,常套手段・(特に犯罪者の)手口 (略 MO)
modus vivendi	《単数形で》 / 調停,協定 / 生き方
moggy	猫
mogul	重要人物,大立者
mohair	〈U〉モヘア(アンゴラヤギの毛) / 〈U〉モヘア織物
moiety	(法律用語で)(…の)半分《+『of』+『名』》
