mould	=mold
mourning coach	葬式用馬車,霊柩(れいきゅう)車
mouse	『ハツカネズミ』(英米の家によく出没する小型のネズミ;わが国の家に出没する大型のネズミはrat) / 《話》臆病者,内気な人 / 《猫が》ネズミを捜す(捕らえる) / 《人が》(…を)あさり歩く《+『about』+『名』》
mouser	ネズミを捕らえる動物,(特に)猫
mousetrap	ネズミ取り器
mousiness	ネズミに似ていること;ネズミが多いこと / (人が)こっそり(おずおず)していること
moussaka	ムサカ(肉とナスを材料にしたギリシア料理)
mousse	ムース(クリーム・卵の白身などで作った冷凍菓子)
moustache	《おもに英》=mustache
mousy	ネズミの / (色・においなどが)ネズミに似た / (人が)こっそりとした,おずおずした
mouth	(人・動物の物を食べたり,音を発する)『口』,口腔 / (口に似た)開口部;(袋・びんなどの)口,(銅穴・峡谷などの)入り口;河口,港口 / …を大げさに口を動かし気どってしゃべる / 〈信じていないこと・理解していないこと〉を口にする / …を口に入れる,かむ,なめる
mouth-to-mouth	(人工呼吸などで)口移しの
mouthful	口1杯(分の…),1口(分の…)《+『of』+『名』》;(口にはいる程度の)少量 / 《話》難しく言いにくい文句 / 《話》長々しくてもっともらしく聞こえること
mouthorgan	=harmonica / =panpipe
mouthpart	口器(節足動物の口の周辺にある付属器官)
mouthpiece	(楽器の)吹き口,(パイプの)吸い口;(用器・管などの)口,口金;(電話器の)送話口 / 《話》(団体などの)代弁者,スポークスマン
mouthwash	口内洗浄剤(殺菌剤)
mouthwatering	(おいしくて,うらやましくて)口からよだれのでるような
mouthy	おしゃべりな,騒々しい,大げさな
mouton	ムートン(アザラシ・ビーバーの毛皮に似せて加工した羊の毛皮)
movable feast	移動祝祭日(Easterなど,年によって月日が異なる祭日)
movable,moveable	動かせる,移動できる / (祭日などが)年によって日の変わる / (作り付けでない)家財道具 / 《複数形で》動産
move	《しばしば副詞[句]を伴って》『動く』,移動する,揺れ動く / (…から…へ)『引っ越す』,移転する《+『from』(『out of』)+『名』+『to』+『名』》 / 《副詞[句]を伴って》〈時間などが〉経過する(ある方向へ)〈事態・仕事などが〉進展する,向かう / (…で)活動する,活躍する《+『in』(『on』)+『名』》 / 動議を出す,提案する / (チェス・チェッカーなどで)こまを動かす / 《しばしば副詞[句]を伴って》…を『動かす』,移動する,進行させる;…を揺り動かす / 《しばしば受動態で》〈人〉を『感動させる』,の気持ちを動かす / …を動議する,提案する / 措置,手段 / (チェス・チェッカーなどで)こまを動かすこと,一手;こまを動かす番,手番 / 《単数形で》動き,動作
movement	〈U〉(…の)『運動』,『動き』;移動《+『of』+『名』》 / 〈C〉動作,身振り / 〈C〉《複数形で》行動,活動 / 〈C〉(…に向かう)(事態の)成り行き,動向《+『toward』+『名』》 / 〈C〉(目標を達成するための一群の人たちの)運動 / 〈C〉(集団の)移動,移住;(人口の)異動《+『of』+『名』》 / 〈C〉楽章 / 〈C〉(時計などの)機械装置,動く仕掛け
mover	動き人(物);動かす人(物) / 《米》引っ越し荷物運搬業者 / 発起人;動議提出者
movie	(また『motion picture, moving picture』)《米》『映画』;《しばしばthe movies》《集合的に》映画(《英》cinema);映画の上映 / 《複数形で》映画館(《英》cinema) / 《複数形で》映画産業
movie star	《米》=film star
moving	動く,動いている / 動きを起こす / 感動させる / 運搬用の
moving picture	=movie 1
moving staircase	=escalator
moving stairway	=escalator
moving van	家具運搬車,有蓋運送トラック
mow	(かま・機械などで)〈草・麦など〉を刈る《+『名』+『with』+『名』》 / 〈畑・芝生など〉[の穀物(草など)]を刈る / 刈る / 干し草(穀物)の山 / 干し草(穀物)置き場
mower	(また『mowing machine』)(人が乗って動かす)草(穀物)刈り機 / (また『law mower』)芝刈り機 / 草(穀物)を刈る人
mown	mowの過去分詞
mpg	miles per gallon 1ガロンあたりの走行マイル数
mph,m.p.h.	miles per hour 時速…マイル
msec	millisecond; millisecondsミリセカンド(1秒の1000分の1)
msg.	message
mtn.,Mtn.	mountain
mu	ミュー(ギリシア語アルファベットの第12字М,μ;英語のM,mに相当)
much	(量・程度などが)『多くの』,多量の / 『たくさん』,多量 / 《通例否定文の補語として》大した物(事),重要な物(事) / 《動詞・過去分詞を強めて》『大いに』,非常に / 《形容詞・副詞の比較級・最上級を強めて》『ずっと』,はるかに / 《「同じ」の意味の語句を修飾して》たいてい,ほとんど
mucilage	(動植物の)粘液 / ゴムのり(gum, glue)
muck	牛馬ふん;下肥(しもごえ),こやし / ごみ,ちり;汚物 / 黒腐土
muckheap	(家畜舎外の)動物の排せつ物の堆肥
muckrake	《話》醜聞をあばく,政治の腐敗を暴露する
muckraker	醜聞や社会の腐敗をあばく人(記者,文筆家)
muckraking	(有名人の)スキャンダルの暴露
mucky	汚ない(dirty) / (天気が)ひどい
mucous	粘液の,粘液性の;粘液の分泌(ぶんぴつ)する
mucous membrane	《the ~》粘膜
mucus	(動植物の)粘液
mud	『泥』;ぬかるみ
mud bath	泥浴(でいよく)(温めた泥を顔や体に付ける美容・健康療法)
muddily	泥だらけで / 濁って / (考えなどが)混乱して
muddiness	泥だらけ / 濁っていること / (考えなどが)はっきりしない
muddle	…をごちゃ混ぜにする,混ぜ合わせる;…を混同させる《+『名』+『up』(『together』),+『up』(『together』)+『名』》 / 混乱,めちゃくちゃ
muddleheaded	(人・議論などが)混乱した
muddler	物事を台なしにする人 / マドラー(飲み物を混ざ合わせる棒)
muddy	泥をかぶった,泥だらけの,ぬかるみの / (液体・光・音などが)濁った,曇った / (考え・表現などが)混乱した,はっきりしない / 〈衣服・手足など〉を泥で汚す;〈道など〉をぬかるみにする / 〈液体・色など〉を濁らせる / 〈考え・討論など〉を混乱させる
mudflat	干潟(ひがた)
mudguard	(車の車輪の上にある)泥よけ
mudpack	泥パック(顔に酸性の白土泥をつける美容法)
mudpuppy	サンショウウオ(北米産)
mudslinger	泥のなすりあいをする人,中傷しあう人
mudslinging	(特に政治家の)泥試合,中傷,個人攻撃
muesli	ミューズリー(穀物・豆・乾燥果物など;朝食でミルクとまぜて食べる)
muezzin	イスラム教徒の祈とう時報係(イスラム教寺院の尖塔から,定刻に大声で合図の言葉を唱える)
muff	マフ(毛皮類を筒状にして両端から手を入れ暖める) / =earmuff / へま,やりそこない;(特に球技で)球の受けそこない / 〈仕事・役割など〉をしくじる;〈機会など〉をへまをして逃;(球技で)〈受けた球〉を落とす / へまをする,機会を逃がす
muffin	マッフィン / 《英》円形の軽焼きパン;熱いうちにバターを付けて食べる(《米》English muffin) / 《米》バターを付けて食べるロール(カップ)ケーキ
