make-work	(労働者を怠けさせないための)不必要な仕事,余分な仕事
maleficent	害をなす,有害な
malevolence	悪意,敵意
malevolent	悪意(敵意)のある,意地の悪い;(…に)意地の悪い《+『to』(『toward』)+『名』》
malfeasance	違法行為;(特に官公吏の)不法行為
malfeasant	違法の,不法の
malformation	(特に生物体の)奇形;〈C〉奇形部分
malformed	奇形の
malfunction	(器官・機械などの)機能不全,不調 / 〈器官,機械などが〉機能不全である
malice	(…に対する)(強い)悪意,敵意,恨み《+『to』+(『toward』)+『名』》
malicious	(人・行為などが)悪意(敵意)のある,意地の悪い
malign	《名詞の前にのみ用いて》(物事が)悪影響のある,有害な(injurious) / (人が)悪意のある(malicious);(…に)悪意のある《+『to』(『toward』)+『名』》 / …を中傷する,けなす(slander)
malignancy	強い悪意,敵意 / (特に腫瘍(しゅよう)の)悪性;悪性腫瘍
malignant	悪意のある,敵意のある / (病気が)悪性の
malignity	〈U〉〈C〉悪意,敵意,恨み / 〈U〉(病気の)悪性
malinger	(特に軍務,労働などを避けるために)仮病を使う
malingerer	仮病を使う人
mall	木陰の散歩道;遊歩道 / 《米》歩行者専用の商店街・ショッピングモール
mallard	マガモ(野ガモの一種)
malleability	(金属の)可鍛性 / 順応性,従順さ
malleable	(金属などが)打ち延ばしできる,可鍛性の / (性格などが)順応性のある;(…に)従順である《+『to』+『名』》
mallet	木づち / 打球つち(クローケーやポロなどの球戯で用いる)
malleus	つち骨(中耳の三つの骨のうちで最も外側にある)
mallow	ゼニアオイ(ピンク,紫の花が咲く)
malmsey	マールムジー(南欧産の香気高い強く甘いぶどう酒)
malnourished	栄養不良の,栄養失調の
malnutrition	栄養不良,栄養失調
malocclusion	不正咬合(こうごう)(歯がうまくかみ合わないこと)
malodorous	悪臭のひどい / (社会的に)受け入れがたい
malpractice	(官吏などの)不正行為;(医師の)不当治療
malt	麦芽,麦もやし / (また『malt liquor』)麦芽酒(麦芽から作ったビール・エールなど) / 〈C〉=malted milk 2 / 〈麦〉を麦芽にする;〈酒など〉を麦芽で作る / 〈麦が〉麦芽になる
malted	=malted milk2
malted milk	麦芽乳粉(ドライミルク・麦芽粉末・小麦粉で作った可溶性の粉末) / (またmalted)モルト入りミルク(麦芽乳粉をミルクで溶かした飲物)
maltose	麦芽糖
maltreat	…を虐待する,酷使する
maltreatment	虐待,酷使,冷遇
maltster	麦芽製造人
mama	=mamma
mamba	マンバ(アフリカ産の毒ヘビ)
mambo	マンボ / American-Cuba 系のリズムを持つ舞曲 / この曲に合わせて踊るダンス / マンボを踊る
mamma, mama	《小児語》おかあちゃん(mother)
mammal	哺(ほ)乳動物
mammary	乳房の
mammography	(ガン早期発見用の)乳房レントゲン検査
mammon	(悪の根源としての)富,財宝 / 《M-》(富・強欲の擬人的偶像としての)マモン神
mammoth	マンモス(洪積世に生息した長毛の巨象) / 巨大な
mammy	『おかあちゃん』(mother)
man	〈C〉(成人の)『男』,男子;(男の)おとな / 〈U〉《冠詞をつけないで》(動物と区別して)『人類』,『人』,人間(mankind) / 〈C〉《性別に関係なく用いて》人;《否定文で》だれも / 《複数形で》従業員,雇い人;兵士,下士官 / 〈C〉夫,亭主(husband);《話》(内縁の夫,愛人など同棲している)男 / 〈C〉男らしい男,一人前の男 / 《the~,one's~》うってつけの人,意にかなう人,適任者 / 〈U〉《男性に親しく呼び掛けて》君,おい / 《俗》《驚き・喜び・軽べつなどを表す間投詞として》おや,まあ,これは / 〈C〉(将棋・チェッカーなどの)こま / 〈C〉《the~》《米俗》権力者;警官 / 〈要さい・砲・船など〉に人を配置する;〈地位・勤務など〉に人をつける
man Friday	忠実な召使い,従僕
man in the street	《通例the~》(専門家・くろうとに対して)普通の人,しろうと,一般の意見の代表
man jack	《単数形で》(個々の)人, 個人, 一人, every man Jack 「誰も彼も皆」
man of the world	世慣れた人;上流階級の人
man-about-town	社交的な人,遊びなれた人
man-at-arms	兵士;(特に中世の)重騎兵
man-eater	人食い人種(cannibal)・人を食う動物・〔俗〕 男出入りの多い女; 強い女
man-eating	人を食べる
man-hour	(労働者などの)延べ時数,人時(にんじ)(1名1時間の仕事の量)
man-of-war	軍艦(warship)
man-sized	(特に広告で)男性用のサイズの;大きな;おとな向きの
man-to-man	堅苦しくない,率直に打ちあけた,あからさまの
man.	Manual
manacle	《複数形で》 / 手錠 / 束縛,拘束 / 〈人〉に手錠を掛ける / …を束縛する
manage	《しばしばcan, be able toと共に》…を『管理する』,運営する;…を処理する / 〈道具・機械など〉を『じょうずに扱う』,操る;〈人・動物〉をうまく使う / 《『manage to』do》『なんとか』(…)『する』,うまく(…)する;《時に皮肉に》愚かにも(…)する / 管理する,運営する,事を処理する;世話をする / なんとかやっていく;(…で,…なしで)間に合わせる《+『with』(『without』)+『名』》
manageability	扱いやすいこと,処理しやすいこと
manageable	扱いやすい,処理しやすい,御しやすい
management	〈U〉(…の)『管理』,運営《+『of』+『名』》 / 〈U〉(人の)上手な取り扱い,操縦術《+『of』+『名』》 / 〈U〉〈C〉《the~》《集合的に》経営者側
manager	(商店・会社・興行などの)『支配人』,『経営者』(団体・チームなどの)監督,部長 / 《形容詞を伴って》(仕事・家事を)やりくりする人,切り回す人
manageress	《おもに英》(商店やレストランなどの)女性経営者(支配人)
managerial	《名詞の前にのみ用いて》経営上の;経営者の
managing	支配する,管理する,経営する
manana	あす;いつかそのうち / あす;いつかそのうち
manatee	カイギュウ(海牛)(西インド・メキシコ湾内に群生する哺(ほ)乳動物)
mandamus	(上級裁判所から下級裁判所への)職務執行令状
mandarin	〈C〉(中国清朝時代の)官吏 / 〈U〉《M-》北京(ペキン)官話(中国の標準語として使われる) / (また『mandarin orange』)〈C〉マンダリンミカン(日本のミカンはこれに属する)
