monolithic	一枚石(岩)の / 一枚岩のような;どっしりとした
monument	(人物・事件などの)『記念碑』,記念像,記念建造物《+『to』+『名』》 / (故人への)墓碑(tombstone);(地所を示す)標識 / 遺物,遺跡;景勝地 / (…の)後世に残る偉業,金字塔《+『of』+『名』》
monumental	《名詞の前にのみ用いて》記念碑の[ような] / 歴史に残る;不朽の,不滅の / (大きさ・程度が)とてつもない,途方もない
moo	モー(牛の鳴き声) / 〈牛が〉モーと鳴く
mooch	〈金・食物など〉をたかる / 金(食物)をたかる
moocow	(牛を意味して)モーモー
mood	(ある時の,一時的な)『気分』,機嫌 / (会合・作品などの)『雰囲気』,ムード,(時代・国民などの)風潮,一般的な傾向《+『of』+『名』》 / 《複数形で》むら気,ふきげん / (動詞の)法,叙法
moodily	不機嫌に
moodiness	むら気なこと / 不機嫌
moody	《軽べつして》気分が変わりやすい,むら気の / 不機嫌な
moon	《the~》(天体の)『月』 / 〈U〉《しばしばa~》(さまざまに形を変える)『月』 / 〈C〉(惑星の)『衛星』(satellite) / 〈C〉《複数形で》(特に太陰暦の)ひと月 / 〈U〉月光(moonlight) / 《話》(あてもなく)ふらふらさまよう《+『about』(『around』)》;ぼんやり過ごす(眺める)《+『away』》
moonbeam	月光
mooncalf	怪物(monster) / 精神薄弱者,白痴
moonlight	『月光』,月明かり / 月光に照らされた,月明かりによる(moonlit) / 《米話》(定職のほかに)(…として)夜間のアルバイトをする《+『as』+『名』》
moonlighter	夜中までかけもちの仕事をする人
moonlit	《名詞の前にのみ用いて》月に照らされた,月明かりの
moonscape	月面の眺め;月面写真
moonshine	月光(moonlight) / 《話》ばかげた考え,たわごと / 《米》密造酒
moonshot	月へのロケット発射
moonstone	月長石(半透明で乳白色の宝石)
moonstruck	頭の狂った;(恋に落ちて)ぼうっとした[占星学で狂気は月の影響と考えたことから]
moonwalk	月面歩行
moony	月の[光の];月の[光の]のような / 《話》夢ごこちの,ぼんやりした
moor	《英》荒れ地,荒野(こうや)(特にイングランド・スコットランド地方のヒース(heather)などが一面に生えた湿地) / (綱・錨(いかり)などで)〈船〉を係留する,停泊させる / (一般に)(綱などで)…をしっかり留める,固定する / 〈船が〉停泊する / (一般に)しっかりつながれる
moorhen	バン(川・湖にすむ口ばしがオレンジ色のツグミの類)
mooring	〈U〉係船,停泊 / 〈C〉《複数形で》係船設備(用具)(錨(いかり)・ロープ・ブイなど) / 〈C〉《複数形で》船つなぎ場,停泊所
moorland	《おもに英》《しばしば複数形で》(ヒースの茂る)荒野
moose	アメリカヘラジカ(北アメリカに住む大きなシカ)
moot	論争の種となる / 《受動態で》(討論のために)〈問題など〉を提起する
mop	『モップ』(長い柄の付いたぞうきん) / (…の)モップ,モップ(のような…)《+『of』+『名』》 / …をモップでふく(掃除する) / 〈涙・汗など〉をぬぐう,ふく
mop-up	残敵掃討, 締めくくり, 総仕上げ
mope	ふさぎ込む,意気消沈する / 〈C〉ふさぎ込んだ人 / 《the mopes》意気消沈,憂うつ
moped	モペット(モータ付き自転車;低馬力で免許なしで運転できる)
moppet	子供
moquette	モケット(じゅうたんや家具のおおいを作る厚い毛織物)
moraine	氷堆石(たいせき)(氷河により運ばれた土・砂・石の堆積)
moral	《名詞の前にのみ用いて》(人・行為などが)『道徳的な』,道徳を守る;(人が)善悪の区別がつく / 《名詞の前にのみ用いて》『倫理』(『道徳』)『上の』,道徳の(ethical) / 『教訓的な』,道徳を教うる / 精神的な / (物語・でき事などに含まれた)『教訓』,寓意(ぐうい) / 《複数形で》(社会の)モラル,風儀;(個人の)『素行』,
moral certainty	(証明されていないが)確実と考えてよいこと, 蓋然的確実性, 強い確信, 決して誤りのないこと
moral philosophy	道徳哲学,倫理学
moral science	精神科学,倫理学
morale	(軍隊・国民の)士気,風紀
moralist	道学者;道徳家
moralistic	道学的,教訓的;道徳主義の
moralistically	道徳的に
morality	〈U〉道徳,倫理;道徳学,倫理学 / 〈U〉道徳性 / 〈U〉品行 / 〈C〉教訓;寓意
morality play	教訓劇(15~16世紀に流行した勧善懲悪劇)
moralize,moralise	(…について)道徳を論じる,善悪を考える,教訓を示す《+『about』(『on,over,upon』)+『名』(do『ing』)》 / …を道徳的に解釈する;…を教化する
morally	道徳的に,正しく / 道徳上,道徳的に見て / 事実上,ほとんど
morass	〈C〉沼地,低湿地 / 〈U〉《時にa ~》難局
moratorium	支払い猶予令(政府が経済界の混乱を防ぐために一定期間債務者の支払いを猶予すること) / 支払い猶予期間 / (危険な活動の)一時停止
morbid	(精神が)病的な,不健全な / 病気の,病気に関する・気味の悪い,陰気な・憂鬱な・ゾッとする
morbidity	(精神が)病的なこと;不健全 / 《時にa ~》(一地方の)疾病率
mordant	辛らつな,皮肉な / 媒染剤,色止め料 / 金属腐食剤
more	(数・量・程度などが)(…より)『いっそう大きい』,『もっと多く』,ずっと高い《+『than…』》 / 《しばしば数詞,any,some,no,a,few,a littleなどを伴って》『それ以上の』,『もっと多くの』 / 《単数扱い》(…より)『もっと多く』[『の数』,『量』,『程度』];それ以上[の数,量,程度]《+『than…』》 / 《複数扱い》(…よりも)『もっと』(『さらに』)『多数の人』(『物』)《+『than…』》 / (…より)『さらに多く』,もっと《+『than…』》 / 《形容詞・副詞の比較級を作って》(…より)『もっと』,いっそう《+『than…』》 / 『その上さらに』 / 《『more…than ~』》~『よりはむしろ』…
moreover	『そのうえ』,さらに
mores	(特定の集団・社会の)慣習,しきたり
morganatic	貴賎(きせん)相婚の(王族・貴族が平民の女性をめとる場合で、妻子は夫・父の財産・身分を継承できない)
morgue	死体公示所(身元確認のために死体を保管してある場所) / 《米》(新聞社・出版社の)参考資料室,調査部
moribund	(人が)死にかけている / (物が)消滅しかけている
morn	朝,暁(morning)
morning	〈C〉〈U〉『朝』,午前(午前0時または夜明けから正午まで) / 〈U〉《the~》(物事の)始まり,夜明け,黎明(れいめい)《+『of』+『名』》 / 《名詞の前にのみ用いて》朝の
morning call	(ホテルで客を起こすための電話・ベルによる)モーニングコール / 朝の訪問(実際は午後3時ごろまでに行う社交的訪問をいう)
morning coat	モーニングコート(男子の昼間の礼服)
morning dress	モーニング服(昼間の公的・社交的な会合で着用する男子用礼服)
morning glory	〈C〉アサガオ(朝顔)/ 《比喩・俗語》(まれ)一時的な美しさや成功 / 《俗》《婉曲表現》(男性の生理現象)朝勃ち
morning paper	朝刊[新聞]
