mealy bug	コナカイガラムシ(ろう質の分泌物で覆われた昆虫;植物の害虫)
measure	〈U〉(測って得た)『寸法』,『分量』,広さ,重さ / 〈C〉(インチ・グラムの)『度量の単位』 / 〈U〉度量法,測定法 / 〈C〉『計量器具』(物差し,巻き尺,ますなど) / 〈C〉(判断・評価などの)基準,尺度(standard)《+『of』+『名』》 / 〈U〉〈C〉限界,限度(limit) / 〈U〉《時にa~》ある程度,度合いの(の…)《+『of』+『名』》 / 《複数形で》『手段』,方法;対策,処置 / 〈C〉法案,法令,条例 / 〈C〉(音楽の)小節(bar);リズム,拍子 / 〈U〉(詩の)韻の)韻律,格調;詩脚,歩脚(foot) / 〈大きさ・広さ・量など〉を『測る』 / 〈インチ・グラムなどが〉…を測る単位である / …を慎重に考える,判断する / 《数量を表す副詞的用事の名詞[句]を伴って》(…の)長さ(広さ,重さなどがある / 測る,測定する
measured	正確に測った / 慎重な,考慮した / 韻をふんだ,律動的な
measureless	限界のない,測りしれない,測れないほど大きい
measurement	〈U〉『測定』,測量 / 〈C〉《複数形で》『寸法』 / 〈U〉測定法,測量法
measurer	測る人,量る人;計量器
measuring worm	シャクトリムシ
meat	(食用の)『動物の肉』 / 《英古》《米文》(一般的に)『食物』(food) / (果実などの)食用部分,果肉 / (議論・書物などの)最も重要な部分,主眼点,骨子《+『of』+『名』》
meatball	ミートボール(特に牛のひき肉に野菜などを混ぜて丸めた肉だんご)
meathead	《俗》まぬけ,ばか
meatiness	肉の多いこと,肉付きのよいこと / 内容の充実
meatpacking	精肉業(家畜を屠殺(とさつ)し市場へ肉を卸す;肉の販売店はa meat(butcher) shop,《英》 butcher's)
meaty	肉の,肉のような / 肉の多い,肉付きのよい / 内容の充実した
mech.	mechanical / mechanics / mechanism
mechanic	『機械工』,職工
mechanical	『機械の』,道具の;機械(道具)を必要とする / 機械仕掛けの,機械操作の,機械製の / 機械に適した,機械向きの;(人・行動などが)機械的な,自動的な
mechanical advantage	機械的倍率(機械に加わる入力に対する出力の割合)
mechanical drawing	機械製図
mechanical engineering	機械工学
mechanically	機械の力で; 機械的に,自動的に,無意識に
mechanics	《単数扱い》力学;応用力学,機械学 / 《複数扱い》(作業・スポーツなどの)技術的な部分,技術
mechanism	〈C〉機械;(部分的な)機械装置 / 〈C〉(機械装置に似た)機構 / 〈C〉(物事が行われる)仕組み,方法 / 〈U〉機械論
mechanistic	力学の,機械学の / 機械論的な
mechanistically	力学的に,機械学的に
mechanization,mechanisation	機械化
mechanize,mechanise	〈生産方法など〉に機械を導入する,を機械化する / 〈陸軍・部隊など〉を機甲化する(戦車・装甲車類を装備すること)
med.	medical / medicine / medieval / medium
medal	『メダル』,記念章;勲章
medalist,medallist	メダル製作(意匠)者 / メダルを受領した人
medallion	大型メダル / 大型メダルに似たもの;円形飾り模様(本・じゅうたん・レース・とびらなどの装飾に用いる)
meddle	(…に)『おせっかいをやく』《+『in』+『名』》 / (…を)『いじくりまわす』《+『with』+『名』》
meddler	おせっかいをやく人
meddlesome	おせっかいな
medevac	(戦場の)負傷者救出用ヘリコプター
media	mediumの複数形
mediaeval	=medieval
medial	中間の,中間に位置する / 平均の,並なみの
median	中央の,中間の / 中間数の,中央値の / (統計・数学で)中間数,中央値;中点
mediate	〈紛争・相違点など〉を調停する,仲裁する / 〈妥協・和解・同意など〉を仲裁して成立させる / (両者の)調停をする《+『between』+『名』》 / 仲介者(媒介物)を通じての,間接の
mediation	調停,仲裁
mediator	調停者,仲裁者
medic	医学生,インターン / 医学関係者;《特に米》衛生兵,看護兵
medicable	医療が可能な,治療できる
medical	『医学の』,医術の;医者の / 内科の;内科治療を要する / 診察
medically	医学(医術)的に;医学(医術)によって
medicament	薬,医薬品
medicate	〈人・病気・傷など〉を薬で治療する / …に薬を加える,薬剤を投入(添加)する
medicated	薬を混入した
medication	〈C〉〈U〉薬剤,医薬品 / 〈U〉薬剤を添加(投入)すること;薬物治療
medicinal	病気(傷)を治す[力のある];薬用の;薬効のある
medicine	〈U〉『医学』,医術;医[師]業 / 〈C〉〈U〉(外用薬以外の)『薬』[『剤』],内服薬 / 〈U〉(北米インディアンの間で行われる)病気(悪霊)を追い払うまじない
medicine ball	メジシンボール(バスケットボールより大きくて重い革のボール;運動のため次々に投げ渡す)
medicine chest	薬箱
medicine man	(北米インディアンの)呪医(じゅい)
medico	医師,医学生
medieval,mediaeval	『中世の』,中世に属する;中世ふうの / 《話》旧式の
mediocre	月並みの,平凡な;中途半端な
mediocrity	〈U〉普通,並み / 〈C〉並みの人
meditate	(…を)『慎重に考える』,熟考する《+『on』(『upon』)+『名』(do『ing』)》 / (特に宗教的な意味で)瞑想(めいそう)する / …を『もくろむ』,企てる
meditation	〈U〉深く考えにふけること,沈思黙考;(宗教的)瞑想 / 〈C〉《しばしば複数形で》(ある題目についての)深い論究
meditative	深く考えにふける,沈思黙考する
medium	中間(中程度)にあるもの,中庸(mean) / 媒介物,媒体 / 《複数形mediaで》=mass media / 『手段』,方法(means) / (芸術の)表現手段,手法 / (動植物がそこで生存し機能を発揮する)環境;(細菌の)培地,培養基 / 霊媒者 / 『中間の』,並みの
medium wave	(無線で)中波
mediumistic	霊媒の,心霊術の
medlar	西洋カリン(野生のリンゴのような実をつける小木;その実), 臭い人
medley	(…の)寄せ集め,ごった混ぜ《+『of』+『名』》 / 混成曲,メドレー
medulla	〈U〉骨髄 / =medulla oblongata
medulla oblongata	延髄
meed	相応(当然の)報酬,正当な報い
meek	(気質・態度が)『おとなしい』,温和な / 弱気な,覇気(はき)のない / 苦痛にじっと耐える
meekly	おとなしく;いくじなく
meekness	温順,柔和
meerschaum	〈U〉(パイプの火皿に用いる)海泡(かいほう)石 / 〈C〉火皿が海泡石製のパイプ
meet	…に『会う』,出会う / (紹介されて)…と『知り合いになる』,近付きになる / (約束して)〈人〉と『会う』,落ち合う / 〈人〉を『出迎える』;〈乗り物が〉〈他の乗り物〉と連絡する / 〈必要・要求・希望〉にかなう,を満足させる / 〈物〉に接触する,と接続する;…に交わる,合する / 〈勘定など〉を支払う / …にに対抗する,と対戦する / 〈反対・困難など〉にうまく対処する,打ち勝つ;…に反ばくする / 『会う』,出会う / 知り合いになる / 〈人が〉『会合する』,集まる;〈会合が〉開かれる / 〈物が〉『接触する』,合する,交わる / 〈性質などが〉結合する,共存する / 《おもに米》『競技会』(《おもに英》meeting) / 適当な,ふさわしい
meeting	〈C〉『集会』,『会合』(assembly) / 〈C〉《単数形で》出会い;(人物が)いっしょになること《+『of』+『名』》 / 〈U〉《the ~》《集合的に》参加者,参会者,会衆 / 〈C〉物がいっしょになる場所(地点);(川の)合流点,(道路の)交差点(junction) / 〈C〉(特にクエーカー教徒の)礼拝集会,宗教会
meetinghouse,meeting house	(特にプロテスタントの)礼拝堂,教会,集会所;公会堂
meg	megohm[s] メグオーム / 〔俗〕(コンピュータ)megabyte(メガバイト)
mega death	百万人の死(核戦争における被害の仮想単位)
megacycle	メガサイクル(ラジオなどの周波数の単位;今日ではmegahertzという)
