menthol	メントール,ハッカ脳(薬・香料に用いる)
mesh	〈C〉《単数形で》(網・ふるいなどの)目,網目 / 〈C〉〈U〉網,網細工 / 〈C〉〈U〉網目状の織物(編物),メッシュ / 〈C〉《複数形で》網の目をかがった糸 / 〈C〉わな / 〈歯車・歯などが〉(…と)かみ合う《+『with』+『名』》 / 《性質・考え方などが》ぴったり合う / 〈魚など〉を網で捕らえる
meshwork	網細工
mesmeric	催眠術の
mesmerism	催眠術(hypnotism)
mesmerist	《古》催眠術師(hypnotist)
mesmerize,mesmerise	《おもに古》…に催眠術をかける / (金縛りにあったように)…をびっくりさせる
meson	中間子(素粒子の1つ;陽子と電子の中間の質量)
mesosphere	中間圏(地表約50から80キロメートルの所に広がっている大気層)
mesospheric	{形}地球の大気圏にある中間圏の
mesquite	メスキート(アメリカ南部およびメキシコ原産の豆科の植物)
mess	〈U〉《時にa ~》『雑然としていること』,ごちゃごちゃ,混乱 / 〈C〉《単数形で》雑然とした物,ごちゃごちゃになった物;頭の中が混乱した人 / 《話》(雑多な種類の混じった,魚などの)1回の捕獲量《+『of』+『名』》 / 〈C〉《集合的に》(特に陸・海軍の)会食グループ,食事仲間 / 〈U〉(会食グループがとる)食事 / 〈C〉=mess hall / …をめちゃくちゃにする,乱雑にする《+『up』+『名』,+『名』+『up』》 / (…と)会食をする《+『together with』+『名』》
mess hall	軍隊内の食堂
message	〈C〉(文書・言葉・信号などによる)『伝書』,通信,メッセージ / 〈C〉教書 / 〈U〉《the~》要旨,意図,訴え;お告げ,神託
messenger	『使いの者』,走り使い;(電報・郵便物・小包の)配達人;(公文書の)送達吏
messieurs	monsieurの複数形(《略》『Messrs.,M.M.』)
messily	取り散らかして,ごたごたと
messmate	(軍隊の)食事仲間,同宿同飯の友
messuage	(法律用語で,付属の建物や庭園・土地を含む)家屋敷
messy	(場所・部屋などが)乱雑な,取り散らかした;(物が)汚れた,きたない / やっかいな,面倒な
mestizo	混血人(特にスペイン人とインディアンとの混血)
met	meetの過去・過去分詞
met.	meteorology / metropolitan
metabolic	新陳代謝の
metabolism	新陳代謝,物質交代
metabolite	代謝物質(新陳代謝によって生じる物質)
metabolize,metabolise	…を新陳代謝させる / 新陳代謝する
metacarpus	掌部,中手(指と手首の間の部分)
metagalaxy	全宇宙(銀河系・星雲などすべてを含む)
metal	〈C〉(個々の)『金属』;〈U〉(材料としての)金属 / 〈U〉合金(真ちゅう,真銅など) / 〈U〉気性,気質 / 〈U〉《英》(舗装用・鉄道用の)砕石 / …に金属をかぶせる / 《英》〈道路〉に砕石を敷く
metalanguage	〈U〉メタ言語(言語を論じるための表現・語句)
metallic	金属の,金属質の / 金属を含む / 金属に似た,金属特有の
metalloid	半金属(金属ではないが,金属の性質を持っている元素;砒(ひ)素,炭素など)
metallurgical	冶金(やきん)学の
metallurgist	冶金学者,冶金技術者
metallurgy	冶金学
metalware	《集合的に》金属製品(容器,用具)
metalwork	金属製品,金属細工品 / (特に学科目の)金属加工
metalworker	金属細工師(職工)
metalworking	金属細工術
metamorphic	変態の,変態を特色とする / 変成の
metamorphism	変成(地下深部での岩石の変化) / =metamorphosis
metamorphose	(…に)を変化させる,変態させる《+『名』+『to』(『into』)+『名』》 / (…に)変化する,変態する《+『to』(『into』)+『名』》
