marshalling yard	鉄道操車場
massacre	大虐殺,皆殺し / …を虐殺する,皆殺しにする
massage	マッサージ,あんま術 / …をマッサージする
masscult	大衆文化[mass cultureの略]
masseur	男のマッサージ師
masseuse	女マッサージ師
massif	(山脈の中の)断層塊
massive	『大きくて重い』,どっしりした;大規模な / (容ぼう,特に頭が)がっちりした / (精神などが)しっかりした,堂々とした / (投薬量が)定量以上の
massively	どっしりと,重々しく,重苦しく
massiveness	どっしりとしていること
massless	(物質が)質量のない
massy	大きい(heavy),がっしりした
mast	『マスト』,帆柱 / (装飾用の)高い柱;(無電用・起重機用の)鉄塔 / ブナ(クリ・カシワなど)の実(豚の飼料にする)
mastectomy	乳房切除の手術;〈U〉乳房が切除された状態
master	〈C〉『主人』,支配者(人),雇主;(動物の)飼い主 / 〈C〉(…を)自由に駆使できる人,処理する能力のある人《+『of』+『名』》 / 〈C〉(…の)『大家』,『名人』,精通者;師匠《+『of』(『in, at』)+『名』(do『ing』)》 / 〈C〉(商船の)船長 / 〈C〉(学校の男の)『先生』 / 《the M-, our M-》主キリスト(Jesus Christ) / 〈C〉《しばしばM-》修士;修士号 / 〈U〉《M-》《古》…様 / 〈C〉(レコードなどの)原盤,金型,(フイルムの)原板,ネガ / 《名詞の前にのみ用いて》 / 一本立ちで仕事のできる職人の,自営の / 主要な,最上の / 腕のいい,名人の,達人の / (機械・レコードなどの)親になる,元になる / 〈人・物〉を『征服する』,支配する;〈感情・欲望〉を『抑える』 / 〈特技・技術など〉を修得する,に熟達する
master card	(カードゲームで)他のカードに負けないカード / もっともらしい理由
master key	マスターキー(1個で多種の錠をあけられる親かぎ;合いかぎはa duplicate key)
master mariner	商船の船長
master of ceremonies	(宮中の宴会などをつかさどる)式部官 / (また《米話》『emcee』)(会合・放送などの)司会者,進行係(《略》『M.C.』)
master sergeant	(米国陸軍・海兵隊の)一等曹長
master-at-arms	(海軍の)先任衛兵伍長, 警備主任
master-hand	〈C〉熟練者,大家 / 〈U〉熟練した技術
masterful	主人づらをして,専横の / 巧みな,すぐれた腕前の
masterly	名人の / みごとな,巧みな / 巧みに,みごとに
mastermind	(計画などの)立案者,指導者
masterpiece	『傑作』,名作
masters	名人たち / 支配者たち(master の複数形) / (Master'sで)修士号
mastership	〈U〉統制,支配 / 〈C〉《古》校長の地位(任務)
masterstroke	すばらしいできばえ,みごとな腕前(手腕)
masterwork	大作
mastery	(…に対する)支配,統御《+『of(over)』+『名』》 / (…に)熟達していること,精進していること《+『of』+『名』(do『ing』)》
masthead	マストの先 / (新聞雑誌の)発行人欄
mastic	乳香樹脂〈液〉(ニスなどを作るのに用いる樹脂)
masticate	…をかみこなす
mastication	咀嚼(そしゃく),かみこなすこと
mastiff	マスチフ(番犬・闘犬用の猛犬)
mastitis	乳房炎,乳腺炎
mastodon	マストドン(第四紀洪積世の象に似た巨獣)
mastoid	乳様突起の / 〈C〉乳様突起(耳の後ろの側頭骨にある)
masturbate	手淫を行う,自慰をする
masturbation	自慰,手淫,マスターベーション
masturbatory	自慰の,手淫の
mat	(床などに敷く)『マット』,敷物,むしろ,畳 / (花びん・置き物などの)下敷き / (レスリング・体操用の)詰め物をした厚い敷物 / 《a ~》(毛・雑草などの)もつれ《+『of』+『名』》 / 〈床など〉にマットを敷く,をマットで覆う / …をもつれさせる / もつれる / (絵画・写真などの飾り縁にする)台紙,厚紙 / (加工した金属などの)つや消し[面] / つや消しの,表面がつやのない / 〈絵など〉に台紙を付ける / 〈表面〉をつや消しにする,曇らせる
matador	マタドール(スペイン最高位の闘牛士)
match	(1本の)『マッチ』 / (昔の)火縄[銃] / 《単数形で》(…に)『匹敵する相手』,(…の)好敵手《+『for』+『名』》 / 《単数形で》対[の一方],片われ,生き写し / 《単数形で》(…と)『よくつり合うもの』《+『for』+『名』》 / 『試合』,競技 / 《古》縁組,結婚;結婚相手 / (…で)…に『匹敵する』,と対等である《+『名』+『in』(『for』)+『名』》 / (…と)…を対抗させる,試合させる《+『名』+『against』(『with』)+『名』》 / 〈物が〉…と『調和する』,つり合う / 〈人が〉…に調和するものを見つける / 《古》(…と)…を結婚させる《+『名』+『to』(『with』)+『名』》 / (…と)『調和がとれている』,つり合う《+『up with』+『名』》
match point	マッチポイント(試合を決定する最後の点)
matchbook	マッチブック(二つ折りの携帯用はぎとり式マッチ)
matchbox	マッチ箱
matchless	無比の,無双の,無類の
matchlock	火縄銃
matchmaker	(結婚の)仲人(好きの人); (ボクシングなどの)試合の仲介者・好んで結婚の斡旋をする人 / 競技の組み合わせをする人・マッチ製造人
matchstick	マッチ棒[の1本];(特に)その燃えさし[の1本]
matchwood	マッチの軸木 / 細片
