milk glass	乳白ガラス,くもりガラス
mind-blowing	気持ちが吹っ飛んでいくような / (麻薬などが)幻覚症状を起こす
mind-boggling	肝っ玉がつぶれるような,仰天させる
mind-expanding	(薬品が)幻覚作用のある
mind-fuck	(人)を(自由自在に)操る:= mind fuck = mindfuck
minded	《補語にのみ用いて》気がある(inclined) / 《形容詞・副詞を伴って複合語を作って》「心が…の」「…の気質の」の意を表す / 《名詞を伴って複合語を作って》「…に関心をもった」「…に熱心な」の意を表す
mindful	心にとめて忘れない,注意する
mindless	《補語にのみ用いて》(…に)気をつけない,注意を払わない / 思慮のない,頭を使わない
mine	『私のもの』 / 《of mineの形で》『私の』 / 《古》私の(my)《母音または綴字がhで始まる語の前,あるいは名詞の後に用いて》 / 『鉱山』,鉱床 / 《a~》(…の)豊富な資源,宝庫《+『of』+『名』》 / 坑道(敵の陣地・要塞を爆破するために掘られたトンネル) / 地雷,機雷 / 〈鉱物など〉を採掘する / (鉱物を採掘するために)〈地面など〉を掘る《+『名』+『for』+『名』》 / 〈場所〉に地雷(機雷)を敷設する;…を地雷(機雷)で破壊する / 〈坑道〉を掘る / (…を)採掘する《+『for』+『名』》 / 鉱山で働く
mine detector	地雷探知機
mine disposal	地雷の処理
minefield	地雷(機雷)敷設区域 / (一般に)危険物の多い所
minelayer	水雷(機雷)敷設艦
miner	鉱夫,坑夫
mineral	(動植物に対して)『無機物』 / 『鉱物』,鉱石 / 《複数形で》《英》炭酸水,清涼飲料(mineral water) / 鉱物の,鉱物質を含む
mineral jelly	ワセリン(火薬の安定剤に用いる石油から採るゼラチン状物質)
mineral kingdom	鉱物界
mineral oil	鉱油
mineral spring	鉱泉
mineral water	〈C〉〈U〉鉱泉,鉱水 / 〈U〉《英》炭酸水,清涼飲料
mineral wool	=rock wool
mineralize,mineralise	〈金属〉を鉱物化する / …に鉱物質を含ませる
mineralogical	鉱物学的の
mineralogist	鉱物学者
mineralogy	鉱物学
minestrone	ミネストローネ(肉・野菜・パスタなどを入れて煮たスープ)
minesweeper	(敵の機雷を除去する)掃海艇
ming tree	(中国風の)盆栽
mingle	(…と)…を『混ぜる』,混ぜ合わせる《+『名』+『with』+『名』》 / (…と)『混じる』,一つになる《+『with』+『名』》
mingy	けちな,けちけちした(stingy)
