morning room	(大邸宅の)午前中使用する居間
moth	『ガ』(蛾);(衣類などを食い破る)イガ
moth-eaten	虫の食った / 使い古しの,古くさい
mothball	虫よけ玉(ナフタリン・ショウノウなどの防虫剤)
mother	『母』 / 〈C〉母親のような人 / 〈U〉《the ~》(…の)源(みなもと),原因《+『of』+『名』》 / …を生む,の母親になる / …を母のように世話する / 酢母(酢の表面にできる薄皮)
mother country	母国;(植民地から見て)本国
mother earth	母なる大地;《ふざけて》地面
mother ship	母艦,補給船,母船
mother superior	女子修道院長,尼院長
mother tongue	母国語
mother wit	生まれつきの才覚,常識,生まれつきの知恵
mother-in-law	夫(妻)の母,義母,しゅうとめ
mother-of-pearl	(貝がらの内側の)真珠母,真珠層
mother-to-be	未来の母,妊婦
motherfucking	見下げはてた、不快な、くそいまいましい、まったくひどい、むかつく、あきれかえる、あきれた、やばい、困った、厄介な
motherhood	母であること,母性;母権 / 《集合的に》母
motherland	母国,故国
motherless	母のない
motherlike	母のような(motherly)
motherliness	母親らしさ
motherly	母の / 母のような,母らしい
mothproof	(化学処理をして)防虫性の,虫のつかない / …を防虫処理する
motif	モチーフ / 文学・芸術作品の表現の中心となる主題 / 楽曲の主題 / デザインなどに繰り返して用いられる主模様
motile	(生物が)運動性がある
motion	〈U〉『動くこと,運動』,運行,移動 / 〈C〉『動作』;身ぶり,合図 / 〈C〉(議会などの)『動議』,提案;)法廷での申請,申し立て / 《しばしば副詞[句]を伴って》〈人など〉に『身振りで合図をする』 / 『身振りで合図する』:《『motion to(for』+『名』+『to』 do》…に…するよう身振りで合図する
motion picture	=movie(映画)
motion sickness	乗り物酔い
motionless	『動かない』,静止している
motivate	〈物事〉の動機となる,を動機づけする;〈人〉に動機を与える
motivation	動機を与えること,動機づけ
motive	(…の)『動機』,誘因,目的《+『for(of)』+『名』(do『ing』)》 / =motif / 運動の;運動に関する;運動を起こす
motiveless	動機のない
motley	まだらの / 雑多の,混成の / (道化師の)まだらの服 / 道化師
motocross	モトクロス(荒地の競走路を走るオートバイレース)
motor	(電気の)『モーター』,電動機 / エンジン,(特に)内燃機関 / 《英》自動車(motorcar) / 《名詞の前にのみ用いて》 / モーターの;エンジンの;自動車の / モーター(エンジン)による,自動車による / (神経・筋肉について)運動の / 自動車で行く / …を自動車で運ぶ
motor home	(自動車旅行やレクリエーション用の)移動住宅バス
motor lodge	モーテル
motor scooter	スクーター
motor vehicle	モーター付きの乗り物(乗用車・バス・トラック・オートバイなど)
motor-driven	モーターで動く
motorbike	《話》モーターバイク(小型の原動機を取り付けた自転車) / 小型オートバイ
motorboat	モーターボート,小型発動機船
motorcade	(特に有名人を乗せた)自動車行列
motorcar	《おもに英》《米》『自動車』《米》automobile
motorcycle	オートバイ / オートバイで行く
motorcyclist	オートバイ乗り
motoring	自動車運転〈技術〉,ドライブ
motorist	自動車を乗り回す人,自動車旅行者
motorize,motorise	〈車〉にモーターを取り付ける / …に自動車を用意する,を自動車化する
motorman	(電車・電気機関車の)運転手
motorship	(内燃機関による)発動機船
motortruck	貨物自動車
motorway	《英》=expressway
mottle	《受動態で》…をまだらにする,ぶちにする / ぶち,まだら,斑点(はんてん)
motto	『モットー』,教え(戒め)とする言葉,座右の銘 / (器物・貨幣・記念碑などにしるす)題句,題銘 処世訓 金言 標語
