little slam	リトルスラム(ブリッジで13トリックのうち12トリックを取ること)
lobby	『ロビー』(公共的建物・ホテルの玄関から部屋へ行くまでの間の広間または廊下) / 《《米》単数・複数扱い》(院外の)圧力団体,陳情団 / (英国で) / (下院で議案裁決のとき,賛否に分かれる)投票者控え室 / (議員が院外者との会見に用いる議事堂の)ロビー,控えの間 / (陳情・運動のため議員に)働きかける《+『for』+『名』》 / 〈議案〉を議員に運動して通過させようとする
lobbyist	議員に働きかける人;議案通過運動(陳情)者
lobe	耳たぶ / (内臓・組織の)葉(よう)(肺葉・肝葉など)
lobed	(葉が)裂片がある / (体の器官に)葉(よう:lobe)がある / 耳たぶのついた;葉(よう)のある
lobelia	ロベリア(キキョウ科の観賞用植物)
loblolly pine	〈C〉(米国南部産の)テーダマツ / 〈U〉テーダマツの材 / 《米方》ぬかるみ,泥穴
lobotomy	ロボトミー(大脳の頭葉切開術;精神分裂病の治療法)(《英》leucotomy)
lobster	ウミザリガニ(はさみのある大えび);(日本でいう)伊勢えびなど
lobsterpot	えび取りのわな
lobule	小葉;小裂片
loc.cit.	loco citato(ラテン語)上記引用文中
local	『一地方の』,ある土地の,(特に)自分の住んでいる土地の;地方に特有な / (全体からみて)『部分的な』,局部の,狭い部分の / 《米》各駅停車の / 《話》《しばしば複数形で》その土地に住んでいる人々 / 《米話》(新聞の)地方記事 / 《話》(各駅停車の)列車,電車,バス / 《米》(労働組合などの)支部 / 低カロリーの
local color, local colour	(小説・劇などの)地方色;太陽光線下で見たときの(物の)固有色, 郷土色, 地元の特徴
local option	地方選択権(酒類販売の可否などを住民投票で決定する権利)
local time	現地時間,地方[平均]時
locale	(でき事の)現場,現地;(小説・劇の)舞台
localism	地方偏狭主義 / (地方独特の)話し方
locality	(ある)場所,地方,土地;(でき事などの)現場,現地《+『of』+『名』》
localization,localisation	局限;地方色を与えること
localize,localise	…を(場所・時間などのある範囲)に限る / …に地方色を与える
locally	地方的に,局部的に;近くに
locate	…の『位置(場所)を突きとめる』,示す / (ある位置・場所に)…を『置く』,設立する《+『名』+『in』(『on』,『at』)+『名』》 / 《場所を表す副詞[句]を伴って》 / (…に)居住する,落ち着く
located	(…に)位置した,場所を構えた
location	〈U〉(…の)位置(場所)を捜し出すこと《+『of』+『名』》 / 〈C〉『位置』,場所 / 〈C〉(映画などの)『野外撮影地』;〈U〉ロケーション
loch	湖(lake);入り江
loci	locusの複数形
lock	錠 / (運河の)水門 / (銃砲の)発射(点火)装置 / (レスリングの)締めわざ / 車輪止め,輪止め / 〈戸など〉に『錠をおろす』(しめる) / (錠をかけたように)〈指・腕など〉を締めつける / 『錠がかかる』 / かみ合う,かみ合って動かなくなる / 髪のふさ,巻き毛 / 《複数形で》頭髪 / (羊毛などの)少量,一握り
lock gate	(川・運河などの)水門
locker	ロッカー,錠つき戸だな
locker room	ロッカー室,更衣室
locket	ロケット(写真・形見の品などを入れて首飾りなどにつける)
lockjaw	=tetanus
lockkeeper	(川・運河などの)水門管理人
locknut	ゆるみ止めナット
