Lisbon	リスボン(ポルトガル共和国の首都)
labor of love,labour of love	報酬目当てでなく喜んでする仕事
labor party	(一般に)労働党;《the Labour P-》《英》労働党
labor union	労働組合(《英》trade union)
labor,labour	〈U〉(肉体的・精神的な)『労働』;苦労 / 〈C〉(個々の骨の折れる)『仕事』 / 〈U〉《集合的に》『労働者』[『階級』] / 〈U〉《Labor》(英国の)労働党 / 〈U〉生みの苦しみ,陣痛 / 『労働する』;(仕事などに)精を出す《+『at』(『on』,『over』+『名』》 / (…を得ようと)努力する《+『for』+『名』》 / 〈人・乗り物などが〉(…を)苦労して進む《+『through』(『over, up』)+『名』》 / …に時間をかけ過ぎる,をあまりに詳しく論ずる)
laboratory	『実験室』,研究室(所),試験室(所);(薬品などの)製造所
labored,laboured	苦労して作られた(なされた);不自然な
laborer,labourer	『労働者』,勤労者
laborious	骨の折れる;苦心の跡の見える
laboriously	苦心して,骨をおって;精を出して
laborsaving,laboursaving	労力節約の,省力の
labour	=labor
labour exchange	=employment exchange
laboured	=labored
labourer	=laborer
laburnum	キングサリ(マメ科キングサリ属の有毒な小さい木)
labyrinth	〈C〉(…の)迷路,迷宮(maze)《+『of』+『名』》 / 《the L-》ラビュリントス(ギリシア神話でMinos王が怪物Minotaurを監禁するためDaedalusに造らせたCrete島の地下の大迷宮)
labyrinthine	迷宮の,迷路の;迷路のような,入り組んだ
lac	ラック(ワニス・赤色染料の原料)
lace	〈C〉(靴・衣類などを締める)『ひも』 / 〈U〉『レース』 / 〈U〉(制服などの装飾用)モール / 〈靴など〉を『ひもで締める』《+『up』+『名,』+『名』+『up』》 / (…で)〈衣類など〉にレース飾りをする,へり飾りをつける《+『名』+『with』+『名』》 / (…を)〈布地など〉に織り混ぜる《+『名』+『with』+『名』》 / (酒を)…に加える《+『名』+『with』+『名』》 / 〈靴・衣類などが〉ひもで締まる
lacerate	〈筋肉・手足など〉を引き裂く,切り裂く / 〈心・感情など〉をひどく傷つける
laceration	〈U〉引き裂く(切り裂く)こと / 〈U〉(感情などを)ひどく傷つけること / 〈C〉裂傷,裂け目
lacerative	ずたずたに引き裂くような;(感情など)傷つけるような
lachrymal	涙の;涙を分泌する
lachrymose	(人が)涙もろい;(物語・歌などが)涙を催させる
lacing	〈U〉ひもで縛ること;レース飾りをつけること / 〈U〉(各種の用途の)ひも,レース,金(銀)モール / 〈U〉〈C〉《話》むち打ち / 〈U〉酒を加えること
lack	…を『欠く』,がない(受動態にできない) / (…になるまでに)…だけ不足する《+『名』+『of』[『being』]+『名』》 / 〈U〉《時にa~》(必要なものの)『欠乏』,不足;(…が)ないこと《+『of』+『名』》 / 〈C〉欠けて(不足して)いるもの
lackadaisical	気の進まない,たいぎそうな(listless)
