L	lira(イタリアの貨幣単位リラ)
Latin	〈U〉(古代ローマで用いた)『ラテン語』 / 〈C〉(古代ローマに住んでいた)ラティウム人,古代ローマ人 / 〈C〉ラテン[系]民族の人 / 『ラテン語の』 / ラテン系民族の;ロマンス語族の言語を使う民族(諸国)の
Latin America	ラテンアメリカ(中南米諸国;ラテン系言語を話していることから)
Latin American	ラテンアメリカの
Latin Quarter	ラテン区,カルチェラタン(パリのセーヌ川南岸にある学生・芸術家たちが集まる街)
Latinize,Latinise	…をラテン語に訳す / …をラテン風にする / ラテン語を使う
Latino	ラテンアメリカ系のアメリカ市民
Latter Day Saint	モルモン教徒(Mormon)
Latvia	ラトビア(バルト海東岸にある旧ソ連邦の共和国)
Latvian	〈C〉ラトビア人;ラトビアに住む人 / 〈U〉ラトビア語,レット語 / ラトビアの;ラトビア人の;ラトビア語の
Lazarus	ラザロ(聖書の人物;キリストにより死からよみがえった)
Ld.	Lord
League of Nations	国際連盟(1919‐46年;the United Nationsが成立した翌年解散した)
Leaning Tower of Pisa	(イタリアの)ピサの斜塔
Lebanon	レバノン(地中海東岸の共和国;首都はBeirut)
Lee	リー将軍(Robert Edward ~;1807‐70;南北戦争における南軍の総司令官)
Leipzig	ライプチヒ(東ドイツ南部の都市)
Lenin	レーニン(『Vladimir Ilyich』~;1870‐1924;ロシア革命の指導者)
Leningrad	レニングラード(ロシア北西部の都市;ロシア帝国の首都であった)
Lent	四旬節(キリスト教で,Ash Wednesdayに始まり,日曜を除いてEasterまで続く40日間;この期間に断食と悔い改めを行う)
Lent term	(英国の大学の)春学期
Lenten	四旬節(Lent)の
Leo	獅子(しし)座 / (占星術で)獅子宮
Leonardo da Vinci	レオナルドダビンチ(1452‐1519;イタリアの画家・科学者)
Lesotho	レソト(アフリカ南部の王国;もと英国領)
Levant	レバント(地中海東部の沿岸地方;特にその地方の諸国)
Levantine	レバント地方の人 / レバント地方の
Levite	レビ(レビ族の祖;旧約聖書「創世記」) / レビ族の人,レビ人(ユダヤの神殿で祭司の補佐を務めた者)
Leviticus	レビ記(旧約聖書中の一書)
Lexington	レキシントン(米国Massachusetts州東部の町;米国独立戦争の最初の戦いが行われた場所)
Li	lithiumの化学記号
Lib	Liberal Party
Liberal Party	自由党
Liberia	リベリア(アフリカ西海岸の共和国;首都はMonrovia)
Libra	(星座の)天秤(てんびん)座 / (占星術で)天秤宮
Libya	リビア(アフリカ北部の共和国;首都はTripoli)
Libyan	リビアの / 〈C〉リビア人 / 〈U〉リビア語
Liechtenstein	リヒテンシュタイン(オーストリアとスイスにはさまれたヨーロッパ中部の小公国;首都Vaduz)
Lieut.	lieutenant
Lilliputian	小人国の;非常に小さい / 小人国の住人[ガリバー旅行記の中の想像の小人国Lilliputから]
Lima	リマ(ペルー共和国の首都)
Limburger cheese	リンバーガーチーズ(ベルギー産の強いにおいと風味のある白色のチーズ)
Lincoln	リンカン(『Abraham~』;1809‐1865;米国の第16代大統領1861‐65) / Nebraska州の州都
Lincoln green	(布地の)明るい緑色
Lincolnshire	リンカンシャー州(England東部の州)
Lindbergh	リンドバーグ(『Charles A.~』;1902‐74;1927年大西洋の単独無着陸飛行に初成功した米国の飛行家)
Linden	リンデン 《ボダイジュ・シナノキの類》
Lions Club	ライオンズクラブ(1917年米国シカゴで誕生した国際的奉仕団体)
