lenient	寛大な,哀れみ深い,情け深い
letter	〈C〉『文字』,字 / 〈C〉『手紙』 / 〈C〉(人に特典・権利などを認める)公式の書状 / 〈U〉《the~》(精神・内容に対して)文字通りの意味,字句,字義 / 〈C〉(優秀な運動選手などがつけることを許される)学校のイニシャル / 《複数形で》《単数・複数扱い》文学,学問 / に文字を書き入る,レタリングをする
letter bomb	郵便爆弾(郵便物の中に仕掛けた爆弾)
letter carrier	郵便配達人
letter-perfect	細部にいたるまで正確な
letterbox	=mailbox
lettered	《文》教育のある / 文学の素養のある / 文字入りの
letterer	レタリング専門家
letterhead	レターヘッド(便せんの上部に印刷した発信者の住所・氏名など) / レターヘッドのついた便せん
lettering	レタリング(デザイン風)文字を書く(刻む)技術 / 書かれた文字,刻まれた文字
letterpress	〈U〉凸版印刷[物] / 〈C〉《おもに英》(さし絵以外の)本文
letters patent	《複数形》特許,特許状
letting	貸家,貸しアパート
lettuce	レタス,チシャ
letup	(力・強度などの)ゆるみ,減少 / (仕事などの)休止,停止
leu	レウ(ルーマニアの貨幣単位)
leucocyte,leukocyte	=white blood cell
leucotomy	=lobotomy
leukemia	白血病
levee	(洪水を防ぐための川の)堤防,土手 / (川の)船着き場
level	(土地などが)『平らな』,水平な,凸凹のない / 『同じ高さ(程度)の』 / 《話》精神状態がよくつり合いのとれた,分別のある / 〈U〉〈C〉(地位・程度などの一般的な)『標準』,『水準』,レベル / 〈C〉(高さ・深さの基準となる)『水平面』,水平線 / 〈C〉〈U〉(ある物と比べたときの)『高さ』,深さ / 〈C〉(建物の)階,層 / 〈C〉《おもに米》水準器(《英》spirit level) / 〈物の表面〉を『平らにする』 / 〈木・家など〉を倒す / 〈地位・程度など〉を一様にする,平均する / 《『level』+『名』+『at』+『名』》(目標に)〈銃など〉の水準器を合わせる / 《『level』+『名』+『at』(『against』)+『名』〈人〉》(人に)〈非難など〉を浴びせる / 水平に,平らに
level crossing	=grade crossing
levelheaded	良識ある,分別ある,冷静な
lever	てこ,レバー / をてこを使って動かす
leverage	てこの作用(力) / てこ入れ,影響力
leveret	小ウサギ
leviathan	巨大な海の怪物(旧約聖書「ヨブ記」に出てくる怪物) / 巨大な物(船・鯨など)
levitate	(超自然力によって)空中に浮かぶ / (超自然力によって)…を空中に浮かばせる
levity	(態度の)軽率さ・不まじめ
levodopa	=L-dopa
levy	(…に)〈税金など〉を強制的に課する《+『名』+『on』(『upon』)+『名』》;〈税金など〉を取り立てる / 《文》(…に対して)〈戦争〉を始める《+『upon』(『against』)+『名』》 / (税金などの)強制課税(取り立て);(兵士の)召集 / 取り立てた税金;召集兵,召集軍隊
lewd	みだらな・わいせつな・好色の
lexical	単語の・語いの / 辞書の
lexicographer	辞書の執筆者(編集者)
lexicography	辞書の執筆(編集)
lexicon	辞書(特にギリシア語・ヘブライ語・ラテン語などの古典語辞典) (特定分野の)語彙用語集 語彙目録
lexis	(特定の言語・分野・個人の)総語彙
lg.	large / long
liability	〈U〉(…の)傾向のあること《+『to』+『名』》 / 〈U〉(特に債務などに対する)責任・義務 / 〈C〉不利な点,ハンディキャップ / 〈C〉《複数形で》《単数扱い》負債
liable	(法律的に)責任(義務)のある / 《『be liable to』+『名』》(病気などに)『かかりやすい』 / 《『be liable to』 do》(性質・習慣などにより)…しがちである,しやすい;《話》…しそうな,たぶん…する
liaise	(おもに軍隊・企業で)(…と)連絡をつける(保つ)《+『with』+『名』》
liaison	〈U〉連絡 / 〈C〉リエゾン(フランス語などで語尾の子音を次の音頭の母音に連絡して発音すること) / 〈C〉(男女間の)密通,私通
liana	(熱帯の)つる植物,つる
liar	『うそつき』
lib	(…)解放(liberation)
libation	(古代ギリシア・ローマにおいて)神にぶどう酒をささげること / ぶどう酒,アルコール類
libber	解放運動家
libel	〈U〉〈C〉(文書・絵などによる)名誉毀損罪 / 〈C〉(…に対して)名誉毀損となるもの;(…に対する)中傷,侮蔑(ぶべつ)《+『on』+『名』》 / …の中傷文を書く(発表する)
libelous,libellous	名誉毀損の,中傷的な
liberal	(政治・宗教上の)『自由主義の』 / 『寛大な』,偏見のない,心の広い / 『気前がよい』,物惜しみをしない / (物が)豊富な / (翻訳などが)字句通りでない / 自由主義者 / 《またL-》自由党員
liberal arts	教養科目(文学・歴史・言語・哲学など)
liberalism	自由主義
liberality	〈U〉寛大;偏見のないこと / 〈U〉気前のよさ / 《複数形で》《文》気前のよい贈り物,施し
liberalization,liberalisation	寛大なこと / 自由化,自由改革,自由主義化
liberalize,liberalise	〈心など〉を広くする,寛大にする / (自由主義に基づいて)…を改革する;…を自由[主義]化する / 寛大になる / 自由になる
liberally	寛大に;気前よく / (量・数などが)豊富に
liberate	(…から)…を自由にする,解放する《+『名』+『from』+『名』》 / (…から)〈ガス〉を遊離させる《+『from』+『名』》
liberated	(社会的・性的に)自由な,解放された
liberation	解放,釈放 / (ガスの)遊離
liberator	[民族]解放者;釈放する人
libertarian	(特に思想・宗教上の)自由論者
libertine	放蕩(ほうとう)者 / 放蕩な
liberty	〈U〉(圧政・支配・束縛などからの)『自由』,独立,解放;(自分の意志で行動・選択する)自由,権利 / 〈C〉『気まま』,かって;かって気ままな言動 / 《the ~》(ある場所に出入りする)『権利』,自由《+『of』+『名』》 / 〈U〉(海軍の)上陸許可(時間) / 《複数形で》(王などから与えられた)権利,特権
libidinous	好色な,肉欲的な
libido	リビドー(精神分析で人間のすべての行動の基とされる根元的な欲望) / 性欲
librarian	司書,図書館員,図書係
library	『図書館』,図書室 / (個人の)書斎,読書室 / 『蔵書』 / 双書
librettist	オペラの歌詞(libretto)の作者
libretto	オペラの歌詞(台本)
