lay sister	平修道女
leafstalk	(植物の)葉柄(ようへい)
leafy	葉の多い,葉の茂った / 葉から成る,葉でできた / 葉のような
league	リーグ(昔の距離の単位;約3マイル(5キロメートル)) / (国家・人々・組織などの)『連盟』,同盟 / 競技連盟,リーグ / 同盟する,連合する
league game	リーグ戦
leaguer	同盟者,連盟加入者(国);野球連盟の選手
leak	〈U〉〈C〉(水・空気・ガス・光などが)漏れること / 〈C〉『漏れ口』,漏れ穴 / 〈C〉(秘密などの)漏えい《+『of』+『名』》 / 〈船・屋根・容器などが〉漏る / (…から,…の中へ)〈水・空気・ガス・光など〉漏れる《+『from』(『into』)+『名』》 / 〈秘密などが〉漏えいする《+『out』》 / 〈水・空気・ガス・光など〉を漏らす / (…に)〈秘密など〉を漏らす《+『名』+『to』+『名』》
leakage	〈U〉漏ること,漏れ / 〈C〉漏る量,漏出量 / 〈U〉(秘密などの)漏えい《+『of』+『名』》
leakiness	漏れやすいこと
leakproof	漏れ防止の
leaky	漏る,漏れ口のある
leal	《スコットランド英語》誠実な,忠実な,真実な
lean	(人・動物が)『やせた』,肉の落ちた / (肉などが)脂肪が少ない / 乏しい,貧弱な(poor, scanty);(土地などが)やせた / 脂肪のない肉,赤身(lean meat) / 《副詞[句]を伴って》〈建物などが〉『傾く』 / 《副詞[句]を伴って》『上体を曲げる』 / (…に)『もたれる』,寄りかかる《+『on』(『upon, against』)+『名』》 / (…のことで…に)『頼る』《+『on』(『upon』)+『名』+『for』+『名』》 / (…に)〈意見・気持ちなどが〉傾く《+『to』(『toward』)+『名』》 / 《副詞[句]を伴って》〈体・頭など〉を『曲げる』,傾ける / (…に)…を『もたせかける』,立て掛ける《+『名』+『against』(『on, upon』)+『名』》 / 傾くこと;傾き
lean-to	(母屋からの)差し掛け屋根;差し掛け屋根の小屋(物置など)
leaning	(…に対する)傾向,好み,趣味《+『to』(『toward』)+『名』》
leant	leanの過去・過去分詞
leap	《しばしば副詞[句]を伴って》『ぴょんと飛ぶ』,はねる,躍る / 《副詞[句]を伴って》(飛ぶように)『急に』(『す早く』)『動く』,ぴょんと動く / 〈人・動物などが〉…を『飛び越える』 / (…を)〈動物など〉に飛び越えさせる《+『名』+『over』(『across』)+『名』》 / 跳ぶこと,跳躍;《比喩(ひゆ)的に》飛躍,急変 / ひと跳びの距離
leap year	うるう年
leapfrog	かえる跳び(前の人の背を順々に跳び越える遊戯)
leapt	leapの過去・過去分詞
learn	〈知識・技術など,習慣・心構えなど〉を『習う』,学ぶ,身に着ける / …を『覚える』(memorize) / …を聞いて知る / 習う,学ぶ,覚える / (…から…について)知る,聞く《+『of』+『名』+『from』+『名』》
learned	『学問のある』,博学な / 学問的な,学術的な / 《名詞的に;the~》学者たち
learner	学習者;初学者
learning	(…を)学ぶこと,(…の)学習《+『of』+『名』》 / 『学問』,学識,博識
learnt	learnの過去,過去分詞
lease	借地(借家)契約,借地(借家)権 / 借用期間 / (…に)〈土地・家屋など〉を賃貸する《+『名』+『to』+『名』》 / (…から)…を賃借りする《+『名』+『from』+『名』》
leasehold	借地;借地権
leaseholder	借地人,借家人
leash	(犬などをつなぐ)皮ひも,綱,鎖(くさり) / 〈犬など〉を皮ひもなどでつなぐ
least	(littleの最上級;比較級はless) / (大きさ・程度が)『最も小さい』(『少ない』) / (重要性・身分が)最も低い / (大きさ・程度・重要性が)『最小』(『最少』,『最小限』)『の物事』 / 『最も少なく』(『低く』)
least common denominator	最小公分母(《略》『i.c.d.,L.C.D.』)
least common multiple	最小公倍数(《略》l.c.m.,L.C.M.)
leastways	=leastwise
leastwise	少なくとも(at least)
leather	〈U〉(動物の)『なめし』『皮』 / (また『leather product』)〈C〉皮製品 / …をむちで打つ
leatherette	模造革
leathern	皮のような / 皮製の
leatherneck	米国海兵隊員
leathery	皮のような
leave	(…に向かって)〈場所〉を『去る』,離れる;〈人〉の所を去る《+『名』+『for』+『名』》 / 〈会・学校など〉を『やめる』,〈仕事など〉をやめる / 《副詞[句]を伴って》〈人・物〉を置いていく,置き去りにする,残しておく / 〈人・物〉を(…の)『ままにしておく』,(…に)する / (物事に)〈人〉を『ゆだねる』,任せる《+『名』〈人〉+『to』+『名』》 / (人に)〈物事〉を『任せる』,ゆだねる,預ける《+『名』+『with』(『to』)+『名』〈人〉》 / 〈家族・遺産・名声など〉を死後に残す / (差引き)…を余りとして残す / (…に向けて)『去る』,出かける,出発する《+『for』+『名』》 / 〈U〉『許可』,許し(permission) / 〈U〉(軍隊・官庁・学校などで正式に許可される)『休暇』,暇;〈C〉休暇の期間 / 〈U〉別れ,いとまごい(farewell)
leave of absence	休暇[の期間]
leave-taking	いとまごい,告別
leaved	「…枚の葉のある」「…枚の」の意を表す
leaven	酵母,イースト,パン種(だね) / (パン種のように)徐々に感化)変化(を与えるもの,原動力,潜んだ力 / …をパン種を入れてふくらませる / (…で)…に変化(感化)を及ぼす《+『名』+『with』+『名』》
leaves	leafの複数形
leavings	残り物,くず
lech	性的快楽にふける / 好色;《米》好色な人
lecher	好色家
lecherous	(特に男性が)好色な
lechery	好色
lecithin	レシチン(神経細胞や卵黄などに含まれるリン脂質)
lect.	lecture / lecturer
lectern	講演者用の机 / (教会の)聖書台
lecture	(…についての)『講義』,講演(speech)《+『on』+『名』》 / (…についての)(長い)『説教』,訓戒《+『on』(『for』)+『名』(do『ing』)》 / (…に対して…の)『講義をする』,講演をする《+『on』+『名』+『to』+『名』》 / (…について)…に講義する,講演する《+『名』+『on』+『名』》 / (…について)を訓戒する,しかる《+『名』+『for』+『名』(do『ing』)》
lecture theater, lecture theatre	講堂
lecturer	(…の)講演者;(大学の)講師《+『in』+『名』》 / 訓戒する人,しかる人
lectureship	大学の講師の職(地位)
led	leadの過去・過去分詞
ledge	(建物の壁から突き出ている)棚[状のもの] / (がけ・絶壁から突き出ている)岩棚・岩礁
