ledger	元帳,原簿
leghorn	〈C〉《しばしばL-》レグホン(よく卵を産むニワトリの一種) / 〈U〉麦わらさなだの一種 / 〈C〉麦わらさなだで作った婦人用帽子
legibility	(文字が)読みやすいこと
legible	(文字が)読みやすい
legibly	読みやすく
legion	(古代ローマの)軍団(3,000‐6,000人の歩兵と300‐700人の騎兵より成る) / 軍勢,軍隊(army) / 多数,無数(multitude) / 《the L-》在郷軍人会,軍団 / きわめて多い
legionary	(古代ローマ軍の)兵士
legionnaire	《しばしばL-》米国在郷軍人会員 / 軍団員
legis.	legislation / legislative / legislature
legislate	法律を制定する;(…を)法律で禁止する《+『against』+『名』(do『ing』)》 / …を立法する
legislation	『立法』,法律制定 / 《集合的に》(制定された)『法律』
legislative	立法の,立法権のある
legislator	法律制定者,立法者 / 立法府(国会・州議会)議員
legislature	《the ~》立法府,立法機関 / 《米》州議会
legit	=legitimate
legitimacy	合法,適法,正当 / 正統,正系,嫡出(ちゃくしゅつ)
legitimate	(要求・目的などが)『合法的な』,法律の認める / (議論などが)『論理的な』,筋道の立った / (支出・苦情などが)正当な,もっともな / (生まれが)適法な婚姻から生じた,嫡出(ちゃくしゅつ)の / 正統の / …を合法化する / 〈子供〉を嫡出子とする
legitimatize,legitimatise	=legitimate
legitimize,legitimise	=legitimate
legman	〈C〉取材記者 / 現地取材員
legroom	(自動車などの座席で)足を楽にのばせる空間
legume	マメ科植物の総称(特に食用・飼料用) / 豆のさや
leguminous	マメの,マメ科の
legwork	足を使った詳しい調査,取材
lei	レイ(ハワイで首にかける花輪) / leu(ルーマニアの貨幣単位)の複数形
leisure	『暇』,余暇;(仕事をしなくてもよい)自由な時間 / 仕事をする必要がないこと / 暇な,有閑な
leisured	暇のある,有閑の;ゆっくりした
leisurely	ゆっくりした, 気の長い / ゆるゆる, ゆっくり, 悠長に
leitmotif, leitmotiv	(音楽の)主楽想 / (一般)主題
lek	レク(アルバニアの貨幣単位)
lemming	レミング(ネズミに似た尾の短い動物)
lemon	〈C〉;レモン;レモンの木 / 〈U〉レモン色(lemon yellow) / 〈C〉《米》無価値な物;商品、製品などの「はずれ」・不良商品・欠陥商品・《英俗》だめな人,魅力のない物(人) / レモンの(入りの,色の)
lemon curd	レモンカード(レモンジュース・卵・バターをまぜて作ったもの;パンにつける)
lemon sole	ヒラメ,カレイ
lemon squash	レモンスカッシュ(レモンの汁にソーダ水を加えた飲料)
lemonade	《米》レモン水,レモネード(レモンの汁に水と砂糖を加えた飲料) / 《英》レモン[ライム]ソーダ
lempira	レンピラ(ホンジュラスの貨幣単位)
lemur	キツネザル(マダガスカル島産のキツネに似た夜行性動物)
lend	〈金・金〉を『貸す』 / (…に)〈援助〉を与える,〈魅力など〉を添える《+『名』+『to』+『名』》 / 金を貸す,融資する
lend lease	武器貸与(特に,第二次世界大戦中に米国が同盟国に対して行った)
lender	貸す人
lending library	=circulating library
length	〈U〉〈C〉(空間・時間の)『長さ』 / 〈U〉〈C〉長いこと,長い状態 / 〈C〉単位となる長さ;(競馬・競艇の)1馬身,1艇身 / 〈C〉ある長さの物(部分)
lengthen	…を『長くする』 / 長くなる
lengthily	長々と,くどくどと
lengthways	=lengthwise
lengthwise	長い;縦の / 長く;縦に
lengthy	非常に長い / (話・文章などが)長すぎる,くどい
leniency	寛大,慈悲
