last name	(名に対する)姓
lawsuit	訴訟[事件]
lawyer	『弁護士』;法律学者
lax	(法などが)『厳格でない』,手ぬるい / だらしない,たるんだ;(…に)いいかげんな《+『about』+『名』(do『ing』)》 / 『ゆるんだ』
laxative	下剤
laxity	ゆるいこと;だらしなさ
lay	《場所の副詞[句]を伴って》を『置く』,横たえる / を『きちんと置く』(並べる),〈土台など〉をすえる,〈鉄道など〉を敷設する / …を『用意する』,準備する / (…に)〈身体の一部〉を置く,つける《+『名』+『on』(『to』)+『名』》 / (…に)〈信頼・愛情〉を置く,寄せる,託す;〈強調・重要性など〉を置く《+『名』+『on』+『名』》 / 〈ほこり・波・風など〉を抑える,〈恐れ亡霊など〉を静める,なだめる / 〈卵〉を産む / 〈かけ〉をする;(…に)〈金〉をかける《+『名』+『on』+『名』》 / (…に)〈税・罰金・義務など〉を課する,〈重荷・責任など〉を負わせる《+『名』+『on』(『upon』)+『名』》 / 〈悪事など〉を(…の)せいにする《+『名』+『against』(『to』)+『名』》 / 《状態を表す副詞[句]を伴って》(特によくない状態に)…を『置く』,する / (…に)〈権利の主張・報告など〉を提出する,申し出る《+『名』+『before』(『to』)+『名』》 / (…で)…の表面をおおう《+『名』+『with』+『名』》;(…に)…を広げる《+『名』+『on』+『名』》 / 卵を産む / 位置,配置,地形,地勢 / lieの過去形 / (歌うために書かれた)短い物語詩 / 《詩》(一般に)歌,調べ / (僧職にある人に対して)俗人の / (専門家に対して)しろうとの,門外漢の
lay analyst	しろうと精神分析家
lay brother	平修道士(労働だけで僧務はしない)
lay figure	(美術用の)マネキン,モデル人形 / でくのぼう,つまらない人
lay reader	信徒奉持者(礼拝の一部を担当する平信徒), 一般読者
