ligneous	木のような,木質の
liner	(特に大洋航路の)定期船;定期航空機 / 線を引く(物);(目の周囲の化粧用の)ライナー / ライナー(水平に飛ぶ野球の打球) / 裏地,裏切れ / 裏打ち(裏ばり)する人(道具)
linertrain	=freightliner
lineshooter	ほら吹き
linesman	=lineman / (スポーツ競技で)線審・ラインズマン
lineup,line-up	(野球・サッカーの)選手の陣容;(行動・検査などのための人や物の)整列,配列 / (組織・団体の)顔ぶれ,陣容,布陣
liney	=liny, 線を引いた, 皺の多い, 線の多い
ling	タラ科の食用魚 / ギョリュウモドキ(エリカに似た観賞用植物)
linger	(ぐずぐずして)『なかなか立ち去らない』《+『on』》 / 〈病人が〉(危篤状態で)生き続ける《+『on』》 / なかなか無くならない《+『on』》 / (…に)手間どる《+『over』+『名』》
lingerer	ぐずぐず(だらだら)する人;長びくもの,手間どるもの
lingerie	婦人用肌着,ランジェリー
lingering	長引く,ぐずぐずする;なごり惜しそうな
lingo	ちんぷんかんぷんの言葉(わけのわからない外国語・専門用語など)
lingua	舌,舌状の器官 / 言語
lingua franca	(異民族間の)混成外国語, 共通語(に類するもの), 国際語
lingual	舌の / 舌音の / 言語の
linguist	言語学者,語学者 / 数か国語に通じた人
linguistic	言語学の;言語上の
linguistically	言語学的に,言語学上
linguistics	言語学
liniment	塗布薬,塗り薬
lining	〈U〉(服などの)裏張り,裏塗り / 〈U〉裏地,裏材
link	(鎖の)『輪』,環 / 鎖のようにつながったソーセージの一節 / (…と)つなぐ物(人),(…との)きずな,つながり《+『with』(『to』)+『名』》 / 《複数形で》=cuff links / …を『つなぎ合わせる』,連結する;(…と)…をつなぐ《+『名』+『with』(『to』)+『名』》 / (…と)結合する,つながる《+[『up』(『together』)]『with』+『名』》 / たいまつ
linkage	〈C〉鎖の輪 / 〈U〉連結(結合)の状態(仕方)
linking verb	連結動詞(be,seem,look,appear,become,growなどのように主語と補語を連結させる動詞)
