longhair	《しばしば軽べつして》インテリ,知識人・クラシック音楽愛好家・ヒッピー
lope	〈大きな犬や狼が〉ゆっくりとした足どりで駆ける;〈人が〉大またでゆっくり走る / 大またのゆっくりした駆け足
loppings	刈り込んだ枝, 切り枝
lopsided	一方の傾いた;不均衡の,片ちんばの
loq.	Loquitur …が話す(舞台のト書き)
loquacious	おしゃべりの,話し好きな;(鳥などが)騒々しい
loquacity	おしゃべり,多弁
loquat	ビワの木;ビワの実
loran	ロラン(航空機や船舶が無線で自分の位置を知る装置)
lord	〈C〉『主人』,支配者;(封建時代の)『君主』,領主 / 〈U〉《the Lord, our Lord》『主』)しゅ) / 《Lord》《呼びかけや感嘆の表現に用いて》 / 〈C〉『貴族』;《Lords》(英国の)上院議員たち / 〈U〉《Lord》…卿(きょう(英国の貴族および高位の官職の尊称
lordliness	君主(貴族)らしい態度,威厳 / 尊大
lordly	貴族らしい,堂々たる / 尊大な,いばった
lordship	《しばしばL-》閣下 / 〈U〉(…への)支配,統治権《+over+名》
lore	(民族の間に伝承された特殊な)民間伝承,民族伝承 / (特定の題目に関する)知識,学問
lorgnette	(柄の付いた)めがね,オペラグラス
lorn	孤独の,わびしい, 見捨てられた
lorry	貨物自動車,(特に大型の)トラック(《米》truck)
lose	〈物〉を『失う』,なくす,〈人・道など〉を見失う,〈仕事・権利・命など〉を失う / 《『lose』+『名』+『名』》〈物事が〉〈人〉に…を失わさせる / 〈勝負事・訴訟・戦争など〉に『負ける』 / …を『保つことができなくなる』 / …を免れる,脱する / …を『逃す』,むだにする / 〈時計が〉〈ある時間〉だけ『遅れる』 / (…で)損をする,(…を)失う《+『in』(『on』)+『名』》 / (試合・ゲームなどで)負ける《+『in』+『名』》 / 〈時計が〉遅れる
lose face	面子[面目・威信]を失う、顔が立たない、顔をつぶされる、体面を汚す
loser	負ける,(負けた)人,敗北者
losing	負ける,損をする,勝ち目がない
loss	〈U〉(…を)『失うこと』,紛失《+『of』+『名』》 / 〈C〉(…の)『損害』,損失;損失額《+『of』+『名』》 / 〈U〉〈C〉(…に)『負けること』,(…の)敗北;失敗《+『of』+『名』》 / 〈U〉(状態・程度の)『減少』,低下 / 《複数形で》(戦場における)(人の)損害,死傷者数
loss leader	目玉商品,特売品
lost	loseの過去・過去分詞 / 『失った』,なくなった,紛失した / 『負けた』;(賞などを)取りそこなった / (時間・労力などが)『浪費された』・破壊された(destroyed) / 《補語にのみ用いて》(…に)夢中になった,没頭した《+『in』+『名』》
lost cause	失敗した運動,敗れた主張
lost property	遺失物
lot	〈C〉『くじ』 / 〈U〉くじ引き,抽選 / 〈C〉《単数形で》『運命』,巡り合わせ / 〈C〉《米》(土地の)一区画,地所 / 〈C〉分け前 / 〈C〉(商品などの)一山,一口;《おもに英》(人の)一群,連中 / 〈U〉《おもに英話》《the~》(…の)すべて,全部《+『of』+『名』》 / 《a lot, lotsの形で,副詞的に》大いに,ずっと / 〈C〉《話》やつ,者
loth	=loath
lotion	外用水薬;化粧水,ローション
lottery	富くじ,福引き,宝くじ・運,巡り合わせ
lotto	ロット(数字の記入されたカードを合わせるゲーム)
lotus	ハス / ロータス(ギリシア神話でその実を食べると浮き世を忘れるという植物)
lotus position	結跏跌坐(けっかふざ)(ヨガの座り方)
lotus-eater	(ギリシア神話の)ロータスの実を食べて現世の苦しみを免れた人・安逸をむさぼる人;夢想家
loud	(音・声が)『大きい』,大きな音を出す / 『騒々しい』;はでな,人目を引く / 『大声で』,声高に
loudhailer	メガホン,拡声器
loudly	『大声で』,『騒々しく』,声高に / はでに,けばけばしく
loudmouth	おしゃべり,ほら吹き
loudmouthed	大声の,やかましい
loudness	大声;騒がしさ / はでなこと,けばけばしさ
loudspeaker	拡声器,ラウドスピーカー
lough	湖,入江
lounge	(…に)ゆったりと寄り掛かる(座る,横になる)《+『against』(『on, in』)+『名』》 / (…を)『ぶらぶら歩く』,ぶらつく《+『about』+(『around』)+『名』》 / 〈C〉(ホテル・クラブ・船などの)『休憩室』,娯楽室,社交室 / 〈C〉寝いす,安楽いす / 〈U〉《しばしばa~》ぶらぶら歩き
lounge bar	酒場の特別室
lounge suit	平服
lounger	なまけ者
loupe	拡大鏡,ルーペ
lour	=lower
louse	シラミ / 《俗》くだらないやつ
lousy	シラミのたかった / 《話》いやな,ひどい,下劣な,鼻持ちならない / 《話》(…が)うんざりするほどある;(…で)いっぱい《+『with』+『名』》
lout	ぶこつ者,田舎者
loutish	ぶこつな,無作法な
louver,louvre	よろい張り,よろい板(通風・日よけのために窓に取り付ける,よろい状の羽目板)
