landfall	(航海・飛行後初めての)陸地発見,陸地到達 / その発見(到達)した陸地
lap	『ひざ』(座ったときの大腿部の上からひざがしらまでの部分) / (スカートなどの)ひざの部分 / 《比喩(ひゆ)的に》責任,管理 / 安楽な場所 / (…に)折り重なる,かぶさる《+『around』(『over』)+『名』》 / (競技で)トラックを1周する / 《文》…を折りたたむ,折り重ねる / (競技などで)〈相手〉を1周抜く / 重なり合っている部分 / (競技でトラックの)1周 / 〈犬などが〉〈液体〉を『なめて飲む』,ペロペロなめる《+『up』+『名,』+『名』+『up』》 / 〈波が〉〈岸など〉を軽く打つ,洗う / (液体を)〈犬などが〉ペロペロなめる / (岸などを)〈波が〉軽く打つ,洗う《+『against』(『on』)+『名』》 / 〈C〉(犬などがミルクなどを)ペチャペチャ飲むこと / 〈U〉《the~》パチャパチャという波の音
lap belt	自動車の座席用安全ベルト
lap robe	ひざ掛け(自動車・馬車などに乗ったときに用いる毛皮・毛布など)
lapboard	ひざ板(テーブル・机の代りにひざの上にのせて使う)
lapdog	愛がん犬,抱き犬
lapel	(背広などの)前えり,折りえり
lapidary	〈C〉宝石細工人 / 〈U〉宝石細工術 / 宝石(研摩)の
lapin	〈C〉(去勢した雄の)ウサギ / 〈U〉その毛皮
lapis lazuli	瑠璃(るり)(準宝石)
lappet	(衣服・帽子などの)たれ,たれひだ
lapse	『ちょっとした誤り』(失策) / (時の)『経過』《+『of』+『名』》 / (道徳的に正しい道を)踏みはずすこと,堕落《+『from』+『名』》 / (…への)転落,(…に)陥ること《+『into』+『名』》 / (…が)しだいに消滅すること《+『of』+『名』》 / (道徳的に正しい道を)踏みはずす《+『from』+『名』》 / (ある状態に)陥る,なる《+『into』+『名』(do『ing』)》 / 消滅する,使われなくなる / (時が)過ぎていく
lapse rate	(高度の上昇に伴う)気温低下率
lapsed	(特に)宗教を捨てた / (法律的に)無効の,期限切れの
lapwing	タゲリ(ヨーロッパ産の鳥で鋭い鳴き声を出す)
larboard	(船の)左側
larcenous	窃盗(せっとう)の
larceny	窃盗(せっとう)罪
larch	カラマツ(黄葉の美しい落葉高木) / カラマツ材
lard	ラード(料理用の豚の脂肪) / 〈料理〉にラードを加える(塗る) / (風味をつけるため)〈肉など〉にベーコンをはさむ / (…で)〈話・文章〉に味をつける,あやをつける《+『名』+『with』+『名』》
larder	〈C〉肉貯蔵室,食料品室(pantry) / 〈U〉貯蔵食料
lares and penates	(古代ローマの)家庭の守り神 / 大事な家財,家宝
large	(同じ種類のものと比較して,形・体積・数量などが)『大きい』,多い,広い / (考えなどが)広範囲な,幅の広い,寛大な / 大きく / 自慢して,誇大に
large intestine	大腸
large-hearted	寛大な,寛容な
large-minded	寛容な,心の広い
large-scale	大規模な,広範囲の / (地図・設計図が)縮尺率の大きい
largely	『主として』,大部分 / 多量に,豊富に,気前よく
largeness	(形・数量・程度などの)大きいこと / 巨大,広大,多大;(包容力・活動・興味などの)幅の広いこと,寛大
largesse, largess	気前よく贈り物をすること
largo	(楽曲が)ラルゴの(で),きわめてゆるやかな(に) / ラルゴ調の楽章
lariat	《米》(家畜を捕らえるために使う)投げなわ(lasso)
lark	『ヒバリ』 / 《話》戯れ,ふざけ;愉快で楽しいこと / 《話》ふざける,浮かれ騒ぐ《+『about』》
larkspur	〈U〉《植物》ヒエンソウ / 〈C〉《植物》ラークスパー(ヒエンソウ属の植物)
larrup	《方言》…を打つ,むち打つ
larva	(昆虫の)幼虫(青虫など) / (動物の)幼生(オタマジャクシなど)
larval	幼虫の
laryngeal	喉頭(こうとう)の;(音声が)喉頭音の
laryngitis	喉頭(こうとう)炎
laryngoscope	喉頭(こうとう)鏡
larynx	喉頭(こうとう)
lasagne	ラザーニャ(平たい麺(めん)を肉・チーズ・トマトで調理したイタリア料理), = lasagna
lascivious	好色な,みだらな;情欲を起こさせる
laser	レーザー(強力な可視光線を発生させる;医療,通信,軍事用)
lash	〈C〉(皮製の)『むちひも』,むち / 〈C〉『むちの一打ち』;《the ~》(昔の刑罰で)むち打ちの刑罰 / 〈C〉(むちのような)素早い動き;(むち打つような)激しい非難,痛烈な皮肉 / 〈C〉まつげ(eyelash) / 〈人・動物〉を『むちで打つ』 / 〈風・雨・波などが〉…を激しく打つ / 〈むち・尾など〉を『激しく振る』 / (言葉で)…を厳しく非難する《+『名』+『with』+『名』》 / 〈人など〉を刺激して(かり立てて)(…)させる《+『名』+『to』(『into』)+『名』》 / (…を)『激しく打つ』《+『at』+『名』》 / (…に)〈雨・風・波などが〉『激しく打ちつける』《+『against』+『名』》 / 〈尾などが〉激しく動く《+『about』》 / (綱・ひもなどで)…をしっかり結ぶ;(…に)…を縛り付ける《+『名』+『to』+『名』》
lashing	〈U〉むち打つこと / 〈U〉縛りつけること / 〈C〉ひも,なわ
lashings	《複数形》《話》(飲食物などの)たくさん,多量《+『of』+『名』》
lass	若い女,少女 / (女の)恋人
lassitude	体のだるさ,疲労,けん怠 / 無気力
lasso	(牛・馬を捕まえるための)輪なわ,投げなわ / 〈牛・馬など〉を輪なわで捕まえる
last	《the ~》(順序・時間について)『最後の』;(行為・でき事について)最後の / 最後に残った,後のない / 《時を表す語につけて》『すぐ前の』,この前の,昨…,先…;最近の,この,ここ / 『最新の』,最近の / 《the ~》『最も』(…)『しそうにない』,最も(…)でない《+『名』+『to』 do(『that節』『wh-節』)》 / 《the ~》(地位・評価・重要さなどが)最も劣る / (特に人生の)終末の / 《the ~》最大の,この上ない(utmost) / (lateの最上級) / (順序・時間が)『最後に』,いちばん遅く / 『この前に』,最近 / (講演・論文などで)最後に,終りに臨んで / 《the ~》『最後の人』(『物』) / 最近のもの,この前のもの / 『最後』,終り,臨終;(月・週の)終り / (時間的に)『続く』,継続する / 〈物が〉『使用に耐える』,〈力・精力などが〉もつ / 〈物が〉足りる,なくならない / …の『間をもちこたえる』,を生き続ける / 〈物などが〉(ある期間の間)〈人〉の必要を満たす / 靴型
last hurrah	(特に不成功に終わる)最後の政治運動
last minute	どたん場の,締切りまぎわの
