lughole	耳(ear)
lust	(…に対する)『強い欲望』,渇望《+『for』(『of』)+『名』》 / 色欲,肉欲 / (…を)切望する,渇望する《+『after』(『for』)+『名』》
luster,lustre	〈U〉〈C〉(陶磁器・織物などの)『光沢』,つや / 〈U〉『輝き』 / 〈U〉『栄光』,名誉
lusterless	光沢(輝き)のない;名誉のない
lustful	どん欲な / 好色の,みだらな
lustre	=luster
lustrous	《おもに文》光沢のある,きらきらする
lusty	(身体の)強壮な;元気あふれる,活発な / 好色の
lutanist,lutenist	リュート奏者
lute	リュート(17世紀ごろまで用いられたギターに似た弦楽器) / 封泥(ふうでい)(破れ目や穴をふさぐもの) / …を封泥でふさぐ
lutetium	ルテチウム(化学記号は『Lu』)
luxuriance	繁茂 / 豊富
luxuriant	(草木などが)繁茂した,生い茂った(thick) / (土地が)肥えた,多産の / (想像力などが)豊かな;(装飾・文体などが)華やかな
luxuriate	(…を)大いに楽しむ,(…に)ふける《+『in』+『名』(do『ing』)》 / ぜいたくな生活をする / 繁茂する,盛んになる
luxurious	『ぜいたくな』,豪華な / 快楽にふける,甘美な
luxury	〈U〉『ぜいたく』,おごり / 〈C〉『ぜいたく品』 / 〈C〉楽しさ,快楽,満足
lv.	leave[s]
lyceum	〈C〉《米》(演説・音楽会などを催す)文化運動団体 / 〈C〉(上記の催し物を行う)文化会館 / 《the『L-』》リュケイオン(アリストテレスが哲学を説いたアテネ郊外の学園);アリストテレス学派
lych gate	墓地門(教会墓地入口の屋根付きの門)
lychee	〈C〉ライチ(果物)
lycée	リセ(フランスの大学予備教育をする国立高等学校)
lye	灰汁,あく;洗たく用アルカリ液
lying	lieの現在分詞 / うそをつく,偽りの / うそをつくこと,虚言
lying-in	=confinement3
lymph	リンパ[液]
lymph gland	リンパ腺(せん)
lymphatic	リンパ[液]の / (人が)不活発な,鈍重な
lymphoid	リンパ状(液)の
lynch	…に私刑(リンチ)を加える
lynch law	私刑(特に絞首刑),リンチ(法), 死刑
lynx	オオヤマネコ(ヤマネコの一種;目が鋭く耳の先に房状の毛がある)
lynx-eyed	眼光の鋭い
lyonnaise	リヨン風の(刻みタマネギを入れて料理したものについていう)
lyre	リラ(古代ギリシアのたて琴;歌などの伴奏用)
lyrebird	コトドリ(オーストラリア産;尾がlyreの形に似た鳥)
lyric	叙情[詩]の;叙情的な / 歌の,歌を用いた / 叙情詩 / 《複数形で》(特に歌謡曲の)歌詞
lyrical	詩的 / 抒情的(=lyric)
lyricism	叙情詩調,叙情味,リリシズム
lyricist	叙情詩人 / (流行歌・歌謡曲などの)作詞家
lyrist	リラ(lyre)の弾奏者 / =lyricist
lysergic acid diethylamide	=LSD
lysin	リジン(細胞溶解素), = lysine
