naturalism	(文学・芸術・哲学などの)自然主義
neatly	きちんと,こぎれいに / 手ぎわよく,てきぱきと
neatness	きちんとしていること,整然 / 手ぎわのよいこと,器用
nebbish	《米俗》つまらぬ人,ろくでなし
nebula	星雲
nebular	星雲の;星雲状の
nebulize,nebulise	…を霧状にする
nebulosity	〈C〉星雲状の物 / 〈U〉ぼんやりした状態,あいまいさ
nebulous	曇っている / 漠然とした(vague)
necessarily	『必ず』,必然的に
necessary	(物事が)『必要な』,なくてはならない / 『必然的な』,避けられない
necessitate	〈物事が〉…を必要とする,余儀なくする(force, compel)
necessitous	貧しい / 《文》差し迫った
necessity	〈U〉《時にa ~》『必要』,必要性;必然,当然のこと・必要品〈C〉《しばしば複数形で》(…に)『どうしても必要なもの』,(…の)必需品《+『of』(『for, to』)+『名』》 / 〈U〉(貧乏・不幸などによる)困窮,窮乏
neck	〈C〉(人間・動物の)『首』;首の骨 / 〈C〉(衣服の)えり / 〈C〉首の形をした物 / 〈U〉〈C〉(食品としての)(羊などの)頚肉(けいにく) / キスして愛撫(あいぶ)し合う
neckband	(衣服についたひも・レースの)首飾り
neckerchief	首巻き,えり巻き,ネッカチーフ
necklace	『首飾り』,ネックレス
necklet	小さな首飾り / 毛のえり巻き
neckline	(洋装の)えりぐり
necktie	=tie
neckwear	ネックウェアー(えりもとに着ける服飾品;ネクタイ・スカーフなど)
necrology	(一定期間内の)死亡者名簿;死亡告示
necromancer	心霊術師,(降霊術を用いる)預言者
necromancy	交霊による占い / いかがわしい魔術
necrophilia	死体姦(かん)症(死体に性的魅力を感じること)
necrophiliac	死体姦(かん)症患者
necropolis	《文》(古代都市などの)大墓地
necrosis	壊疽(えそ)
nectar	ネクター(ギリシア神話で不老不死になるという神々の酒) / (一般に)甘美な飲み物,甘露 / (花の)みつ
nectarine	ネクタリン,ツバイモモ(モモの一種)
nee,née	旧姓は(既婚夫人の結婚前の姓を示すのに用いる)
need	〈U〉《時にa~》『必要』,入用 / 〈C〉《しばしば複数形で》『必要なもの』,(…の)必要品《+『for』+『名』》 / 〈C〉(…に対する)欲求,切望《+『for』+『名』》 / 〈U〉(…の)『困窮』,欠乏,不足《+『of』(『for』)+『名』》 / 〈U〉『困った時』(『事態』),まさかの時 / …を必要とする,要する / 《疑問文・否定文,また疑問・否定の内容を表す文で》…『する必要がある』,しなければならない / 《need not have doneの形で》…する必要はなかったのに
needful	《まれ》必要な,なくてはならない;(…に)必要な《+『for』+『名』》
needle	『針』,縫い針;(編物用の)かぎ針,編み棒 / (レコードプレーヤーの)針;(磁石・らしん盤など各種計器の)針 / 外科用の針(縫合針など);注射針 / 針状のもの;小尖塔(しょうせんとう);とがった山頂 / (マツ・モミなどの)針葉 / …を針で縫う(編む);…に針を通す / (…のことで)〈人〉‘をいじめる,悩ます《+『名』+『about』+『名』(do『ing』)》;〈人〉をいじめて(…)させる《『名』+『into』do『ing』》 / 縫い物(編物)をする
needlepoint	ニードルポイント(キャンバス地に折した毛糸の刺しゅう)
needless	『不必要な』
needlessly	用もないのに;いわれなく
needlewoman	お針子
needlework	針仕事
needn't	need notの短縮形
needs	《直ちに, 当面》 必要なもの[こと], 要求, 要望されるもの
needy	非常に暮らしに困っている / 《名詞的に;the~》《集合的に;複数扱い》貧困者たち
nefarious	不正の,ふらちな,邪悪な
neg.	negative
negate	…を無効にする,無意味にする / 〈存在・真実など〉を否定する(deny)
negation	否定,打ち消し / 無,非存在
negative	『否定の』,反対の / 『消極的な』,控えめの / 陰電気の;(数値が)負の,マイナスの(minus);(写真が)陰画の,ネガの;(医学検査結果が)陰性の / 『否定』,拒否,「いやだ」と言うこと / 否定語[句] / 《the~》(特に討論会の)反対者側,反対派 / (電気分解に用いる)陰極板 / (数値の)負数 / (写真の)陰画,ネガ / 《しばしば受動態に用いて》…に反対投票をする / =negate
