never-ending	果てしのない
newsy	ニュース(話題)の多い / おしゃべりな
newt	イモリ
newton	ニュートン(力の単位)[Sir Isaac Newtonの名にちなむ]
next	(時間・順序が)『次の』,すぐ後に続く;来…,翌… / (場所・位置が)『いちばん近い』,隣の / (時間・順序などの点で)『次に』,今度は / 次の人,次のもの
next-door	隣の家(建物)に;《名詞の後に置いて形容詞的に》隣の / 隣に住む
next-of-kin	最近親者,近親者,親族
nexus	連鎖;関係 / (文法で)主語述語関係
niacin	=nicotinic acid
nib	ペン先 / (一般的に)とがった部分,先端(tip) / (鳥の)くちばし
nibble	(…を)少しずつかじる,少しずつ食べる,つつく《+『away at』(『on』+『名』) / (相手の申し出などに)思わせぶりな催度を示す,乗るようなふりをする《+『at』+『名』》 / …を少しずつ食べる,つつく;…をかじり取る《+『away(off)』+『名』,+『名』+『away(off)』》 / かじり取って…を作る / (…を)つつくこと,かじること《+『at(on)』+『名』》 / (食物の)一口の量,少量
nibs	親分,大将,ボス
nice	(物事が)『良い,気持ちよい』(pleasant) / (人が)『親切な』,思いやりのある / 『十分満足のできる』,すばらしい,質のいい / 微妙な,デリケートな;精密な,正確な / 育ちのいい,礼儀正しい;洗練された
nice-Nellyism	お上品ぶり,淑女ぶり,お上品な言い回し,淑女ぶること
nicely	見事に,気持ちよく;うまく / 精密に
niceness	とてもよいこと,すばらしさ,けっこうなこと / 精密さ
nicety	〈U〉正確さ,的確さ,精密さ / 〈C〉《複数形で》微妙な点(相違),細かな点 / 〈C〉《複数形で》すてきなもの;優雅なもの,洗練された教養(態度など)
niche	壁がん(像・花びんなどを置く壁のくぼみ) / (…に)ふさわしい場所(地位,仕事),適所《+『for』+『名』》
nick	刻み目(notch) / 表面だけの切り傷,かすり傷 / …に刻み目(傷)をつける・「in the nick of time」で「きわどい時に, ちょうどよく」 / 状態,体調
nickel	〈U〉『ニッケル』(金属元素;化学記号は『Ni』) / 〈C〉(米国・カナダの)5セント白銅貨 / 〈C〉(一般に)ごくわずかの金 / …にニッケルめっきをする
nickel silver	洋銀(ニッケル・銅・亜鉛の合金)
nickel-plate	{動}防錆や装飾目的で行うニッケルめっきを施す処理を行うこと / 〈C〉ニッケルめっきされた金属板
nickelodeon	(昔の)5セント映画館 / 初期のジュークボックス
nicker	《スコットランド英語》〈馬が〉いななく / (馬の)いななき / 《英俗》1ポンド,《豪俗》金
nicknack	=knickknack
nickname	(…に対する)『あだ名』,通り名,(…の)愛称,略称《+『for』+『名』》 / 《『nickname』+『名』+『名』(『形』)》(…と)…にあだ名(愛称)を付ける,をあだ名で呼ぶ
nicotine	ニコチン(たばこに含まれる無色の毒物)
nicotinic acid	ニコチン酸
niece	『めい』(自分や配偶者の兄弟姉妹の娘)
niff	悪臭,臭気
nifty	しゃれた,いきな;うまくできた
niggard	けちんぼ(miser) / =niggardly
niggardliness	けちなこと,しみったれ
niggardly	けちな,しみったれた;(…に)けちけちする《+『of』+『名』》 / けちくさい,わずかの,乏しい / けちけちと,物惜しみして(stingily)
nigger	(黒人に対する極めて侮蔑的・差別的表現)
niggle	(ささいなことに)念を入れ過ぎる,あれこれ言う《+『about』(『over』)+『名』》 / (人などを)いらいらさせる《+『at』+『名』》
niggling	ささいなことにこだわる;いらいらさせる / (作品などが)細部に凝りすぎた,(仕事などが)細かくてめんどうな
nigh	近くの(near) / 近くに(で) / ほとんど / …の近く(そば)に
night	〈C〉〈U〉『夜』,晩,夜間 / 〈U〉(夜の)暗やみ,夜陰 / 〈U〉《文》(精神的に)まっ暗な状態(時),やみ / 〈C〉(特定の行事・目的に当てられる)晩,夜 / 『夜の』,夜間[用]の;夜勤の;夜行[性]の
night bird	《話》=night owl / 夜鳥(フクロウ,ナイチンゲールなど)
night blindness	夜盲症,鳥目
night crawler	夜間にはい回る大ミミズ
night owl	夜ふかしをする人
night porter	(ホテルのフロントなどの)夜間勤務者
night safe	(銀行の)夜間金庫
night school	夜間学校
night soil	(肥料にされる)糞尿(ふんにょう)
night table	寝室用小テーブル
night watch	〈U〉夜警 / 〈C〉《単数・複数扱い》夜間警備員 / 〈C〉夜警時間
night watchman	〈C〉(工場などの)夜間警備員
nightcap	ナイトキャップ(夜寝るときかぶる帽子) / 寝る前に飲む酒
nightclothes	寝巻き
nightclub	ナイトクラブ
nightdress	=nightgown
nightfall	日暮れ
nightgown	(婦人・子供用のゆったりした)寝巻き(《英》nightdress)
nighthawk	(北米産の)ヨタカ(夜鳥) / 《話》=night owl
nightie	=nightgown
nightingale	ナイチンゲール,サヨナキドリ(ヨーロッパ産ツグミ科の小さな赤褐色の渡り鳥;雄は特に春の夕方から夜半にかけて美しい声で鳴く)
