nonstick	(フライパンなどが)こげつかない,テフロン加工の
not	《助動詞,be動詞,時にhaveと共に,また一般動詞にはdoを添えて文の否定を表して》…『でない』,しない / 《語・句・節を否定して》…『でなく』 / 「not+形(副)」は否定される形容詞・副詞の反対の意味を強調することがある / notの意が及ぶ範囲の違いによって,意味解釈に違いが生じることがある / 《不定詞・分詞・動名詞を否定して》…[『し』]『ない』 / 《all, everyなどとともに用いて部分否定を表して》(全部が…なのでは)『ない』,(必ずしも…では)『ない』 / 《any, eitherなどに伴って全面否定を表して》(全然…)『しない』,(どちらも…)『しない』 / 《省略文でnotを含む句・節の代用として》『そうではない』
not sufficient funds	(銀行の)預金不足
nota bene	= note well(注意せよ) / 注意[せよ]《略》『N.B.,nb.』
notability	〈U〉顕著,著名 / 〈C〉《複数形で》名士
notable	『注目に値する』,目立った / 〈C〉著名人,名士
notably	著しく,際立って / 特に
notarize,notarise	〈公証人が〉〈文書〉を公証する,証明する
notary public	公証人
notch	(V字形の)刻み目 / 《米》山あい / 《話》段階(STEP),等級(degree) / …に刻み目をつける / 《話》〈競技の得点など〉を記録する,〈勝利〉を収める
note	〈C〉《複数形で》『覚え書き』,控え,メモ / 〈C〉(本文に対する)『注』,注釈 / 〈C〉(形式ばらない)『短い手紙』,短信;外交上の文書 / 〈U〉『注目』,注意 / 〈U〉『重要性』(importance);顕著 / 〈C〉《単数形で》(声の)調子,(感情などの)しるし,兆候《+『of』+『名』》 / =promissory note / 〈C〉『紙幣』 / 〈C〉音楽;音符;(ピアノなどの)けん / …を『書き留める』,記す / …に『注意する』;…と気づく / (取り立てて)…について言う,を留意する
notebook	『ノート』,筆記帳
notecase	財布,札入れ
noted	『有名な』,著名な
notepaper	=writing paper2
noteworthy	(物事が)注目に値する,著しい(remarkable)
nothing	『何も…ない』(not anything ,no thing) / 『少しも…でない』 / 〈C〉《単数形で》『重要でないこと(人)』,取るに足りない人 / 〈U〉ゼロ
nothingness	無,空 / 無意義・無価値
notice	〈U〉『人目を引くこと』,注意,注目,関心 / 〈U〉『通告,通知』,警告;(契約解除の正式な)通知,予告 / 〈C〉(…の)『掲示』,はり紙,びら《+『of』+『名』》 / 〈C〉《しばしば複数形で》(新聞・雑誌などにのる)批評,紹介 / (赤ちゃんが)知恵がつく / (視覚・聴覚など五感で)…に『気がつく』,を認める;(心で)…に気がつく(進行形にできない) / …に注意を払う,関心を持つ
notice board	=bulletin board
noticeable	人目を引く,目立つ,明らかな / 注目に値する
noticeably	目立って,著しく
notifiable	(伝染病など)届け出ねばならない
notification	〈U〉〈C〉通知,通告,告示 / 〈C〉通知書;届け書
notify	〈人〉に『知らせる』,通報する(inform)
notion	〈C〉『心に思うこと』,考え,意見 / 〈C〉『意図』,望み,思いつき / 《複数形で》《米》小間物(針,糸,リボンなど)
notional	概念(上)の,抽象的な,頭の中だけの / 概念語の;(単語が)辞書的意味を持つ
notoriety	(通例悪い意味で)有名,評判
notorious	名高い,(特に)悪名高い,札付きの
notwithstanding	…にもかかわらず / 《文》それにもかかわらず(nevertheless)
nougat	ヌガー(木の実がはいった砂糖菓子)
nought	=naught
